"gingival swelling"
"swollen gums"
"lithium","227","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","73","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","43","['neoplastic process']"
"rhythm","37","['finding']"
"medical history","26","['finding']"
"gingiva","25","['body part, organ, or organ component', 'pharmacologic substance']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"histone h3","22","['biologically active substance']"
"swollen gum","17","['finding']"
"hepatic","14","['body location or region']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"surgical margins","7","['body part, organ, or organ component']"
"swelling","6","['finding', 'pathologic function']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"tooth structure","6","['body part, organ, or organ component']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"alanine transaminase","5","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"foot","5","['body part, organ, or organ component']"
"thrombasthenia","4","['disease or syndrome']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"lip and oral cavity carcinoma","3","['neoplastic process']"
"date allergenic extract","3","['pharmacologic substance']"
"dental caries","3","['disease or syndrome']"
"lymphoid interstitial pneumonia","3","['body part, organ, or organ component', 'disease or syndrome']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"behaviorial habits","3","['individual behavior']"
"malignant neoplasms","3","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"muscular dystrophy","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"observation result","2","['finding']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"pharmacologic substance","2","['pharmacologic substance', 'therapeutic or preventive procedure']"
"bony process","2","['body part, organ, or organ component']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"anatomic site","2","['body location or region']"
"prealbumin","2","['biologically active substance']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"formycin triphosphate","2","['pharmacologic substance']"
"signs and symptoms","2","['sign or symptom']"
"does skip","2","['biologically active substance', 'finding']"
"educational status","2","['finding', 'individual behavior']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"core specimen","2","['body substance']"
"periodontics procedure","1","['therapeutic or preventive procedure']"
"gtpase-activating proteins","1","['biologically active substance']"
"general anesthesia","1","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"irritants","1","['hazardous or poisonous substance']"
"fluorides","1","['inorganic chemical', 'pharmacologic substance']"
"matrix attachment regions","1","['biologically active substance', 'clinical attribute']"
"does talk","1","['finding']"
"compact pattern","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"may-hegglin anomaly","1","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"sore throat","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'sign or symptom']"
"self care hygiene","1","['finding']"
"tobacco","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"fibronectins","1","['biologically active substance']"
"malnutrition","1","['disease or syndrome']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"ask question","1","['finding']"
"sore to touch","1","['sign or symptom']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"stat protein","1","['biologically active substance', 'finding']"
"muscular dystrophy duchenne","1","['disease or syndrome']"
"parotid double-band protein","1","['biologically active substance']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"research outcome","1","['finding']"
"eating habit","1","['individual behavior']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"dental hygiene","1","['individual behavior']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"dna","1","['biologically active substance']"
"respiratory air","1","['body substance']"
"craniodiaphyseal dysplasia","1","['congenital abnormality']"
"adverse effects","1","['finding', 'pathologic function']"
"halitosis","1","['sign or symptom']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"palm of hand","1","['body location or region']"
"dilantin","1","['organic chemical', 'pharmacologic substance']"
"coloring excipient","1","['pharmacologic substance']"
"anatomic border","1","['body location or region']"
"aplasia cutis congenita","1","['congenital abnormality', 'disease or syndrome']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"scurvy","1","['disease or syndrome']"
