"alopecia"
"baldness"
"loss of hair"
"telogen effluvium"
"hair","39","['body part, organ, or organ component']"
"alopecia","25","['finding']"
"androgenetic alopecia","10","['disease or syndrome', 'enzyme', 'pharmacologic substance']"
"scalp structure","10","['body part, organ, or organ component']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"fever","3","['finding']"
"multiple endocrine neoplasia","3","['antibiotic', 'neoplastic process', 'organic chemical']"
"female pattern baldness","3","['disease or syndrome']"
"structure of beard","2","['body part, organ, or organ component']"
"trichotillomania","2","['mental or behavioral dysfunction']"
"alopecia areata","2","['disease or syndrome', 'finding']"
"behaviorial habits","2","['individual behavior']"
"emotional stress","2","['mental or behavioral dysfunction']"
"tinea capitis","2","['disease or syndrome']"
"adrenal glands","1","['body part, organ, or organ component']"
"drugs non-prescription","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"structure of hair of face","1","['body part, organ, or organ component']"
"gland","1","['body part, organ, or organ component']"
"thyroid diseases","1","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"fungus in medical device environment","1","['finding']"
"hair follicle structure","1","['body part, organ, or organ component']"
"anti-inflammatory agents non-steroidal","1","['pharmacologic substance']"
"oral contraception","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"ovarian neoplasm","1","['neoplastic process']"
"antidepressive agents","1","['pharmacologic substance']"
"acne","1","['disease or syndrome']"
"entire scalp","1","['body part, organ, or organ component']"
"receding hairline","1","['finding']"
"birth of child","1","['finding']"
"calcium channel blockers","1","['pharmacologic substance']"
"eyelash","1","['body part, organ, or organ component']"
"retinoids","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"syphilis","1","['disease or syndrome']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"redness","1","['finding']"
"affected area","1","['finding']"
"burn injury","1","['finding', 'injury or poisoning']"
"adrenergic beta-antagonists","1","['pharmacologic substance']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"cicatrix","1","['finding', 'pathologic function']"
"blood loss","1","['clinical attribute', 'finding', 'pathologic function']"
"communicable diseases","1","['disease or syndrome']"
"hand","1","['body part, organ, or organ component']"
"anemia","1","['disease or syndrome']"
"telogen effluvium","1","['disease or syndrome']"
"testosterone","1","['pharmacologic substance']"
"twenty twenty","1","['organic chemical', 'pharmacologic substance']"
"abnormal menstrual cycle","1","['pathologic function']"
"hair whorls","1","['body part, organ, or organ component']"
"griseofulvin","1","['organic chemical', 'pharmacologic substance']"
"muscle weakness","1","['sign or symptom']"
"male gender","1","['finding']"
"number of medications","1","['finding']"
