"conductive hearing loss"
"deafness"
"decreased hearing"
"loss of hearing"
"hearing examination finding","24","['finding']"
"deafness","17","['disease or syndrome', 'finding']"
"ear structure","15","['body part, organ, or organ component', 'body substance']"
"tympanic membrane structure","8","['body part, organ, or organ component', 'inorganic chemical', 'pharmacologic substance']"
"waxes","4","['biologically active substance']"
"skeletal bone","3","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"encounter due to problems with hearing","3","['disease or syndrome', 'finding']"
"surgical repair","2","['therapeutic or preventive procedure']"
"fracture","2","['finding', 'injury or poisoning']"
"acoustic neuroma","2","['neoplastic process']"
"audiometry","2","['diagnostic procedure']"
"disorder of middle ear","2","['disease or syndrome']"
"conductive hearing loss","2","['disease or syndrome']"
"presbycusis","1","['pathologic function']"
"tissue damage","1","['injury or poisoning']"
"hearing loss partial","1","['disease or syndrome', 'finding']"
"rubella","1","['disease or syndrome', 'pharmacologic substance']"
"cochlear implant procedure","1","['therapeutic or preventive procedure']"
"hair","1","['body part, organ, or organ component']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"skull fractures","1","['injury or poisoning']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"herpes","1","['disease or syndrome']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"toxoplasmosis","1","['disease or syndrome']"
"hole finding","1","['finding']"
"chlorambucil","1","['biologically active substance', 'neoplastic process', 'organic chemical', 'pharmacologic substance']"
"cochlear structure","1","['body part, organ, or organ component']"
"mumps meningitis","1","['disease or syndrome']"
"tympanometry","1","['diagnostic procedure']"
"weakness","1","['sign or symptom']"
"cerumenex","1","['organic chemical', 'pharmacologic substance']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"headache","1","['sign or symptom']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"measles","1","['disease or syndrome', 'pharmacologic substance']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"cicatrix","1","['finding', 'pathologic function']"
"myringoplasty","1","['therapeutic or preventive procedure']"
"ear ossicle structure","1","['body part, organ, or organ component']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"ossiculoplasty","1","['therapeutic or preventive procedure']"
"numbness","1","['finding', 'sign or symptom']"
"sensory hearing loss","1","['disease or syndrome']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"scarlet fever","1","['disease or syndrome']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
"dizziness","1","['finding', 'sign or symptom']"
"operative surgical procedures","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
