"heart pounding or racing"
"heartbeat sensations"
"irregular heartbeat"
"palpitations"
"heart","24","['body part, organ, or organ component', 'pharmacologic substance']"
"palpitations","14","['finding']"
"heart beat","5","['organ or tissue function']"
"heart rhythm","4","['organ or tissue function', 'pathologic function']"
"heart rate","3","['clinical attribute']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"anxiety disorders","3","['finding', 'mental or behavioral dysfunction']"
"esthesia","3","['finding', 'organ or tissue function']"
"anatomic valve","3","['body part, organ, or organ component']"
"stress","3","['finding', 'organic chemical', 'pharmacologic substance']"
"nicotine","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"heart valves","2","['body part, organ, or organ component']"
"caffeine","2","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"chest","2","['body location or region', 'disease or syndrome']"
"exercise pain management","2","['therapeutic or preventive procedure']"
"dietary potassium","2","['inorganic chemical']"
"bradycardia","2","['pathologic function']"
"potassium low","1","['finding']"
"finding of potassium level","1","['laboratory or test result']"
"panic attacks","1","['mental or behavioral dysfunction']"
"pulse rate","1","['clinical attribute']"
"illicit drugs","1","['hazardous or poisonous substance', 'pharmacologic substance']"
"respiratory air","1","['body substance']"
"observation of attack","1","['finding']"
"meditation therapy","1","['therapeutic or preventive procedure']"
"diabetes","1","['disease or syndrome']"
"hypercholesterolemia result","1","['finding']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"asthma","1","['disease or syndrome']"
"ask question","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"bony process","1","['body part, organ, or organ component']"
"tachycardia","1","['finding']"
"yoga","1","['therapeutic or preventive procedure']"
"coronary angiography","1","['diagnostic procedure']"
"sweating","1","['body substance', 'finding']"
"lightheadedness","1","['sign or symptom']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"elastosis perforans serpiginosa","1","['diagnostic procedure', 'disease or syndrome']"
"mitral valve prolapse syndrome","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"breathing exercises","1","['finding', 'therapeutic or preventive procedure']"
"holter electrocardiography","1","['diagnostic procedure']"
"consciousness related finding","1","['finding']"
"hyperthyroidism","1","['disease or syndrome']"
"ptosis","1","['acquired abnormality', 'disease or syndrome']"
"neck","1","['body location or region']"
"oxygen","1","['pharmacologic substance']"
"echocardiography","1","['diagnostic procedure']"
"angiogram","1","['diagnostic procedure']"
"heart problem","1","['sign or symptom']"
"cholesterol","1","['biologically active substance']"
"dizziness","1","['finding', 'sign or symptom']"
