"hellp syndrome","10","['disease or syndrome']"
"thrombocytopenic purpura","2","['disease or syndrome', 'pharmacologic substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"finding of liver enzyme levels","2","['laboratory or test result']"
"decreased platelet count","2","['finding']"
"purpura thrombocytopenic idiopathic","2","['biologically active substance', 'disease or syndrome']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"influenza","1","['disease or syndrome', 'pharmacologic substance']"
"physical findings","1","['finding']"
"elevated liver enzymes","1","['finding']"
"purpura thrombotic thrombocytopenic","1","['biologically active substance', 'disease or syndrome']"
"liver failure","1","['disease or syndrome']"
"fetal non-stress test","1","['diagnostic procedure']"
"pulmonary edema","1","['disease or syndrome']"
"deterioration of status","1","['finding']"
"gallbladder","1","['body part, organ, or organ component', 'disease or syndrome']"
"cesarean section","1","['therapeutic or preventive procedure']"
"placenta specimen","1","['body substance']"
"blurred vision","1","['sign or symptom']"
"ultrasonography","1","['diagnostic procedure']"
"seizures","1","['finding', 'sign or symptom']"
"sore to touch","1","['sign or symptom']"
"start of labor","1","['finding']"
"severe pre-eclampsia","1","['pathologic function']"
"hepatomegaly","1","['sign or symptom']"
"finding of platelet count","1","['laboratory or test result']"
"hemorrhage of liver","1","['finding', 'pathologic function']"
"kidney","1","['body part, organ, or organ component']"
"bleeding site unspecified","1","['sign or symptom']"
"convulsions","1","['sign or symptom']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"abdominal tenderness unspecified site","1","['sign or symptom']"
"retention - dental","1","['clinical attribute']"
"leg","1","['body location or region']"
"abdomen","1","['body location or region']"
"diastasis","1","['pathologic function']"
"disseminated intravascular coagulation","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"obstetric non-stress test","1","['diagnostic procedure']"
"malaise","1","['finding', 'sign or symptom']"
"liver function","1","['organ or tissue function']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"nausea and vomiting","1","['sign or symptom']"
"adverse event associated with death","1","['finding']"
"wall of uterus","1","['body location or region']"
"flare","1","['sign or symptom']"
"eclampsia","1","['disease or syndrome']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"fluid retention in lung","1","['sign or symptom']"
"abruptio placentae","1","['pathologic function']"
"red blood cells blood product","1","['pharmacologic substance']"
"blood coagulation","1","['acquired abnormality', 'disease or syndrome', 'finding', 'laboratory or test result', 'organ or tissue function', 'therapeutic or preventive procedure']"
"weight gain","1","['finding', 'sign or symptom']"
"headache","1","['sign or symptom']"
