"hepatitis","35","['disease or syndrome', 'pharmacologic substance']"
"liver","16","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"vaccines","7","['pharmacologic substance']"
"body fluids","7","['biologically active substance', 'body substance', 'pharmacologic substance']"
"hepatitis chronic","7","['disease or syndrome']"
"hepatitis b virus","5","['disease or syndrome', 'virus']"
"pharmaceutical preparations","5","['pharmacologic substance']"
"blood transfusion","4","['therapeutic or preventive procedure']"
"tissue damage","4","['injury or poisoning']"
"liver damage","4","['pathologic function']"
"hepatitis b vaccine","4","['pharmacologic substance']"
"hepatitis a","3","['disease or syndrome', 'pharmacologic substance']"
"pharmacologic substance","3","['pharmacologic substance', 'therapeutic or preventive procedure']"
"cirrhosis","3","['disease or syndrome']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"transplantation of liver","2","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"acute hepatitis","2","['disease or syndrome']"
"liver function","2","['organ or tissue function']"
"malignant neoplasm of liver","2","['neoplastic process']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"hepatitis immune","1","['disease or syndrome']"
"saliva","1","['body substance']"
"viral load result","1","['finding']"
"deterioration of status","1","['finding']"
"injection of therapeutic agent","1","['therapeutic or preventive procedure']"
"peginterferon","1","['pharmacologic substance']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"viral hepatitis","1","['disease or syndrome', 'finding', 'virus']"
"kidney","1","['body part, organ, or organ component']"
"anorexia","1","['disease or syndrome', 'finding']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"semen","1","['body substance']"
"albumin level","1","['laboratory or test result']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"sexual intercourse - finding","1","['finding']"
"human papillomavirus","1","['pharmacologic substance', 'virus']"
"albumins","1","['biologically active substance']"
"inflammation","1","['pathologic function']"
"aspirin","1","['organic chemical', 'pharmacologic substance']"
"fever","1","['finding']"
"childhood immunization","1","['therapeutic or preventive procedure']"
"tattoo","1","['finding']"
"immunoglobulins","1","['pharmacologic substance']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"hemodialysis","1","['therapeutic or preventive procedure']"
"globulins","1","['biologically active substance', 'laboratory or test result']"
"acupuncture procedure","1","['therapeutic or preventive procedure']"
"nail plate","1","['body part, organ, or organ component', 'body substance']"
"fulminant hepatitis","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"fibronectins","1","['biologically active substance']"
"hepatitis b immune globulin","1","['pharmacologic substance']"
"needlestick injuries","1","['injury or poisoning']"
"nausea and vomiting","1","['sign or symptom']"
"bed rest","1","['therapeutic or preventive procedure']"
