"hepatitis","21","['disease or syndrome', 'pharmacologic substance']"
"liver","13","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"liver damage","7","['pathologic function']"
"tissue damage","6","['injury or poisoning']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"abdomen","3","['body location or region']"
"malignant neoplasm of liver","3","['neoplastic process']"
"feces","3","['body substance']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"acetaminophen","2","['organic chemical', 'pharmacologic substance']"
"pharmacologic substance","2","['pharmacologic substance', 'therapeutic or preventive procedure']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"breast development","1","['finding']"
"poisons","1","['hazardous or poisonous substance']"
"hepatitis a","1","['disease or syndrome', 'pharmacologic substance']"
"icterus","1","['finding', 'pathologic function']"
"treatment options","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"anorexia","1","['disease or syndrome', 'finding']"
"pallor","1","['finding', 'sign or symptom']"
"body weight decreased","1","['finding']"
"primary bacterial peritonitis","1","['disease or syndrome']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"vomitus","1","['body substance', 'sign or symptom']"
"pruritus","1","['sign or symptom']"
"transabdominal ultrasound","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"body piercing","1","['individual behavior']"
"inflammation","1","['pathologic function']"
"iron overload","1","['disease or syndrome', 'finding']"
"ultrasonography","1","['diagnostic procedure']"
"liver function","1","['organ or tissue function']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"tattoo","1","['finding']"
"hemochromatosis","1","['disease or syndrome']"
"cirrhosis","1","['disease or syndrome']"
"esophageal varices","1","['acquired abnormality', 'disease or syndrome']"
"pathological dilatation","1","['pathologic function', 'therapeutic or preventive procedure']"
"hepatitis chronic","1","['disease or syndrome']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"bleach","1","['inorganic chemical']"
"hand","1","['body part, organ, or organ component']"
"overdose","1","['injury or poisoning']"
"liver tenderness","1","['sign or symptom']"
"acute hepatitis","1","['disease or syndrome']"
"melena","1","['pathologic function']"
"liver problem","1","['finding']"
"varicosity","1","['disease or syndrome']"
"hepatitis autoimmune","1","['disease or syndrome']"
"piercing procedure","1","['therapeutic or preventive procedure']"
"cystic fibrosis","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"veins","1","['body part, organ, or organ component']"
"male gender","1","['finding']"
"nausea and vomiting","1","['sign or symptom']"
"chronic disease","1","['disease or syndrome']"
