"abnormality of the urea cycle - hereditary"
"urea cycle - hereditary abnormality"
"urea","10","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"proteins","7","['biologically active substance']"
"ornithine carbamoyltransferase deficiency","4","['disease or syndrome']"
"ammonia level finding","3","['laboratory or test result']"
"diet protein-restricted","3","['finding', 'therapeutic or preventive procedure']"
"amino acids","3","['biologically active substance', 'disease or syndrome', 'pharmacologic substance']"
"transcarbamylase","3","['enzyme']"
"bony process","3","['body part, organ, or organ component']"
"physical findings","2","['finding']"
"infantile neuroaxonal dystrophy","2","['disease or syndrome']"
"somnolence","2","['finding']"
"urea cycle disorders inborn","2","['disease or syndrome']"
"confusion","2","['finding', 'mental or behavioral dysfunction']"
"stress","2","['finding', 'organic chemical', 'pharmacologic substance']"
"blood ammonia level","2","['laboratory or test result']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"protein intake","1","['clinical attribute']"
"phosphate ion","1","['inorganic chemical', 'pharmacologic substance']"
"glutamate-ammonia ligase","1","['enzyme']"
"fever","1","['finding']"
"brain injuries","1","['injury or poisoning']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"trying to conceive","1","['finding']"
"glutamate","1","['biologically active substance', 'pharmacologic substance']"
"tissue damage","1","['injury or poisoning']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"citrullinemia","1","['disease or syndrome']"
"fertilization in vitro","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"fasting","1","['finding']"
"hyperargininemia","1","['disease or syndrome']"
"deficiency of citrate(si)-synthase","1","['disease or syndrome']"
"carbamyl phosphate","1","['biologically active substance']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"hyperammonemia type iii","1","['disease or syndrome']"
"drugs non-prescription","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"urine abnormality","1","['finding']"
"adverse event associated with death","1","['finding']"
"nausea","1","['finding', 'sign or symptom']"
"excision","1","['therapeutic or preventive procedure']"
"complex partial seizures","1","['disease or syndrome', 'pathologic function']"
"accidents","1","['injury or poisoning']"
"disorientation","1","['finding', 'mental or behavioral dysfunction']"
"enzymes","1","['enzyme', 'organic chemical']"
"brain edema","1","['disease or syndrome', 'pathologic function']"
"poor feeding","1","['finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"orotic acid","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"argininosuccinic aciduria","1","['disease or syndrome']"
"carbamoyl-phosphate synthase i deficiency disease","1","['disease or syndrome']"
