"direct and indirect hernia"
"hernia - inguinal"
"incarceration"
"inguinal hernia"
"rupture"
"strangulation"
"intestines","7","['body part, organ, or organ component']"
"swelling","6","['finding', 'pathologic function']"
"hole finding","5","['finding']"
"inguinal region","3","['body location or region']"
"multiple endocrine neoplasia","3","['antibiotic', 'neoplastic process', 'organic chemical']"
"anatomical layer","2","['body part, organ, or organ component']"
"today","2","['antibiotic', 'organic chemical']"
"testis","2","['body part, organ, or organ component', 'disease or syndrome']"
"prostate enlargement","2","['finding']"
"stomach","2","['body part, organ, or organ component', 'disease or syndrome']"
"abdomen","2","['body location or region']"
"blood supply aspects","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"malaise","2","['finding', 'sign or symptom']"
"abdominal wall structure","2","['body part, organ, or organ component']"
"congenital exomphalos","2","['acquired abnormality', 'congenital abnormality']"
"incisional hernia","2","['acquired abnormality', 'injury or poisoning']"
"scanning","1","['diagnostic procedure', 'finding']"
"peritoneum","1","['body part, organ, or organ component']"
"x-ray computed tomography","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"peritoneal dialysis","1","['therapeutic or preventive procedure']"
"chronic constipation","1","['sign or symptom']"
"scrotum","1","['body part, organ, or organ component', 'disease or syndrome']"
"nerve damage","1","['injury or poisoning']"
"ultrasonography","1","['diagnostic procedure']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"more common in women","1","['finding']"
"surgical repair","1","['therapeutic or preventive procedure']"
"muscle strain","1","['injury or poisoning']"
"does bend","1","['disease or syndrome', 'finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"cystic fibrosis","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"fiber","1","['organic chemical', 'pharmacologic substance']"
"weakness","1","['sign or symptom']"
"herniorrhaphy","1","['therapeutic or preventive procedure']"
"vomiting","1","['body substance', 'finding', 'sign or symptom']"
"upper thigh","1","['body location or region']"
"abdominal cavity","1","['body location or region']"
"inguinal and femoral hernia repair","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"male gender","1","['finding']"
"death by strangulation","1","['injury or poisoning']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"intestinal perforation","1","['acquired abnormality', 'disease or syndrome']"
"overexertion","1","['injury or poisoning', 'pathologic function']"
"cicatrix","1","['finding', 'pathologic function']"
"tissue damage","1","['injury or poisoning']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"chronic cough","1","['sign or symptom']"
"set of muscles","1","['body part, organ, or organ component']"
"cryptorchidism","1","['congenital abnormality']"
"dental caries","1","['disease or syndrome']"
"hernia femoral","1","['acquired abnormality']"
"malnutrition","1","['disease or syndrome']"
"thigh structure","1","['body location or region']"
"incised wound","1","['injury or poisoning']"
