"cervical radiculopathy"
"herniated intervertebral disk"
"herniated nucleus pulposus"
"lumbar radiculopathy"
"prolapsed intervertebral disk"
"ruptured disk"
"slipped disk"
"back","18","['body location or region']"
"disc - body part","16","['body part, organ, or organ component', 'finding']"
"vertebral column","13","['body part, organ, or organ component']"
"disk herniated","12","['acquired abnormality']"
"leg","9","['body location or region']"
"numbness","9","['finding', 'sign or symptom']"
"neck","6","['body location or region']"
"injection procedure","5","['therapeutic or preventive procedure']"
"weakness","4","['sign or symptom']"
"lower back structure","4","['body part, organ, or organ component']"
"shoulder","4","['body location or region']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"upper arm","4","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"nerve root","3","['body part, organ, or organ component']"
"spinal cord","3","['body part, organ, or organ component', 'disease or syndrome']"
"plain x-ray","3","['diagnostic procedure']"
"bone structure of spine","3","['body part, organ, or organ component']"
"hand","3","['body part, organ, or organ component']"
"cord - body parts","3","['body part, organ, or organ component', 'disease or syndrome']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"set of muscles","2","['body part, organ, or organ component']"
"spinal nerve structure","2","['body part, organ, or organ component']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"fingers","2","['body location or region']"
"lumbar region","2","['body location or region']"
"toes","2","['body part, organ, or organ component']"
"nerve conduction velocity test","2","['diagnostic procedure', 'finding']"
"deterioration of status","2","['finding']"
"anti-inflammatory agents non-steroidal","2","['pharmacologic substance']"
"intestines","2","['body part, organ, or organ component']"
"forearm","2","['body part, organ, or organ component']"
"plain x-ray spine","2","['diagnostic procedure']"
"urinary bladder","2","['body part, organ, or organ component']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"spinal nerve root structure","1","['body part, organ, or organ component']"
"root body part","1","['body part, organ, or organ component']"
"magnetic resonance imaging (mri) of spine","1","['diagnostic procedure']"
"lower extremity","1","['body location or region']"
"upper extremities taping or strapping","1","['therapeutic or preventive procedure']"
"car accident","1","['injury or poisoning']"
"bladder function","1","['organ or tissue function']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"foot","1","['body part, organ, or organ component']"
"chronic pain","1","['disease or syndrome']"
"computed tomography (ct) of spine","1","['diagnostic procedure']"
"skeletal muscle structure of back","1","['body part, organ, or organ component']"
"heel","1","['body location or region', 'inorganic chemical', 'pharmacologic substance']"
"reflex action","1","['finding', 'organ or tissue function']"
"does stand from sitting","1","['finding']"
"does play","1","['finding']"
"burning sensation","1","['sign or symptom']"
"sciatica","1","['sign or symptom']"
"bone structure of scapula","1","['body part, organ, or organ component']"
"diagnostic tests","1","['diagnostic procedure']"
"spasm","1","['sign or symptom']"
"carney complex type 1","1","['disease or syndrome']"
"fibronectins","1","['biologically active substance']"
"hip region structure","1","['biologically active substance', 'body part, organ, or organ component']"
"strain of back muscle","1","['injury or poisoning']"
"feeling of loss of feeling","1","['sign or symptom']"
"asthenia","1","['sign or symptom']"
"injections spinal","1","['therapeutic or preventive procedure']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"myelography","1","['diagnostic procedure']"
"wrist+hand","1","['body part, organ, or organ component']"
"anatomic site","1","['body location or region']"
"structure of calf of leg","1","['body location or region']"
"cardiac conduction","1","['organ or tissue function']"
"treatment options","1","['therapeutic or preventive procedure']"
"mild adverse event","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"does bend","1","['disease or syndrome', 'finding']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"contraceptives oral","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"coughing","1","['finding', 'sign or symptom']"
"muscle strain","1","['injury or poisoning']"
"rupture","1","['body substance', 'finding', 'injury or poisoning']"
"buttocks","1","['body location or region']"
"unable to move","1","['finding']"
"blade","1","['pharmacologic substance']"
"muscle relaxants","1","['pharmacologic substance']"
"elbow","1","['body location or region', 'congenital abnormality']"
"does move","1","['finding']"
"nerve conduction function","1","['organ or tissue function']"
"fluoroscopy","1","['diagnostic procedure']"
"muscle strength","1","['organ or tissue function']"
"diskectomy","1","['therapeutic or preventive procedure']"
"perform","1","['pharmacologic substance']"
"short period","1","['finding']"
"narcotics","1","['biologically active substance', 'hazardous or poisonous substance', 'pharmacologic substance']"
"chronic back pain","1","['sign or symptom']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"very rare","1","['finding']"
"overweight","1","['sign or symptom']"
"branch of","1","['body part, organ, or organ component']"
"wrist","1","['body location or region']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"painkillers","1","['pharmacologic substance']"
"accidents","1","['injury or poisoning']"
