"stomatitis - herpetic"
"oral region","12","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"stomatitis herpetic","4","['disease or syndrome']"
"sore to touch","3","['sign or symptom']"
"bulla","3","['pathologic function']"
"herpes labialis","3","['disease or syndrome']"
"gingiva","2","['body part, organ, or organ component', 'pharmacologic substance']"
"dehydration","2","['disease or syndrome', 'finding']"
"fever","2","['finding']"
"sore mouth","2","['disease or syndrome', 'sign or symptom']"
"herpes simplex infections","2","['disease or syndrome']"
"acyclovir","2","['clinical attribute', 'disease or syndrome', 'pharmacologic substance']"
"common cold","2","['disease or syndrome', 'finding']"
"tongue","2","['body location or region', 'body part, organ, or organ component']"
"physical findings","1","['finding']"
"lymphoid interstitial pneumonia","1","['body part, organ, or organ component', 'disease or syndrome']"
"aphthous stomatitis","1","['disease or syndrome']"
"herpetic keratoconjunctivitis","1","['disease or syndrome']"
"lidocaine viscous","1","['organic chemical', 'pharmacologic substance']"
"oral ulcer","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"source","1","['finding']"
"anatomic border","1","['body location or region']"
"inflammation","1","['pathologic function']"
"liquid diet","1","['therapeutic or preventive procedure']"
"burn injury","1","['finding', 'injury or poisoning']"
"deglutition disorders","1","['disease or syndrome']"
"gingival ulceration","1","['disease or syndrome']"
"swollen gum","1","['finding']"
"overdose","1","['injury or poisoning']"
"mouth swelling","1","['sign or symptom']"
"cheek structure","1","['body location or region']"
"simple lobule of cerebellum","1","['body part, organ, or organ component', 'organic chemical']"
"adverse event associated with death","1","['finding']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"simplexvirus","1","['virus']"
"irritable mood","1","['finding']"
