"hypertensive retinopathy"
"blood vessel","14","['body part, organ, or organ component', 'finding']"
"retina","10","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"tissue damage","6","['injury or poisoning']"
"eye","5","['body part, organ, or organ component', 'body substance']"
"retinal diseases","3","['disease or syndrome', 'finding']"
"hypertensive retinopathy","3","['disease or syndrome']"
"visual impairment","2","['disease or syndrome']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"blind vision","2","['disease or syndrome']"
"physical findings","2","['finding']"
"arteries","2","['body part, organ, or organ component']"
"headache","2","['sign or symptom']"
"ctcae grade 4 retinopathy","2","['finding']"
"macule","2","['body part, organ, or organ component', 'sign or symptom']"
"optic nerve","2","['body part, organ, or organ component', 'disease or syndrome']"
"veins","2","['body part, organ, or organ component']"
"venous occlusion","1","['pathologic function']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"swelling","1","['finding', 'pathologic function']"
"anatomical layer","1","['body part, organ, or organ component']"
"back","1","['body location or region']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"hypercholesterolemia result","1","['finding']"
"very high","1","['finding']"
"disorder of the optic nerve","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"angiogram","1","['diagnostic procedure']"
"structure of central vein of the retina","1","['body part, organ, or organ component']"
"retinal artery occlusion","1","['disease or syndrome']"
"kidney problem","1","['sign or symptom']"
"optic neuropathy ischemic","1","['disease or syndrome']"
"blood supply aspects","1","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"sudden visual loss","1","['sign or symptom']"
"visual disturbance","1","['sign or symptom']"
"retinal vein occlusion","1","['disease or syndrome']"
"cholesterol level test result","1","['laboratory or test result']"
"diabetes","1","['disease or syndrome']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"malignant hypertension","1","['disease or syndrome']"
"diplopia","1","['disease or syndrome']"
"arterial occlusion","1","['pathologic function']"
"fluorescein angiography","1","['diagnostic procedure']"
"structure of central retinal artery","1","['body part, organ, or organ component']"
"anaplastic oligodendroglioma","1","['neoplastic process']"
"risedronate","1","['organic chemical', 'pharmacologic substance']"
