"hyperkalemia"
"potassium - high"
"dietary potassium","22","['inorganic chemical']"
"kidney","9","['body part, organ, or organ component']"
"pharmaceutical preparations","9","['pharmacologic substance']"
"salt substitute","3","['inorganic chemical', 'pharmacologic substance']"
"sodium chloride","3","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"potassium high","3","['finding']"
"body fluids","3","['biologically active substance', 'body substance', 'pharmacologic substance']"
"dyrenium","2","['organic chemical', 'pharmacologic substance']"
"heart beat","2","['organ or tissue function']"
"acidosis","2","['pathologic function']"
"physical findings","2","['finding']"
"aldactone","2","['pharmacologic substance']"
"potassium supplement","2","['inorganic chemical', 'pharmacologic substance']"
"hyperkalemia","2","['finding']"
"midamor","2","['organic chemical', 'pharmacologic substance']"
"intravenous infusion procedures","2","['therapeutic or preventive procedure']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"triamterene","2","['organic chemical', 'pharmacologic substance']"
"intestines","2","['body part, organ, or organ component']"
"angiotensin-converting enzyme inhibitors","2","['pharmacologic substance']"
"amiloride","2","['organic chemical', 'pharmacologic substance']"
"angiotensin receptor antagonists","2","['pharmacologic substance']"
"spironolactone","2","['pharmacologic substance']"
"veins","2","['body part, organ, or organ component']"
"fibrillations","1","['disease or syndrome']"
"tissue damage","1","['injury or poisoning']"
"pulse rate","1","['clinical attribute']"
"neoplasms","1","['finding', 'neoplastic process']"
"heart block","1","['disease or syndrome']"
"very high","1","['finding']"
"bicarbonates","1","['inorganic chemical', 'organic chemical', 'pharmacologic substance']"
"finding of potassium level","1","['laboratory or test result']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"sodium bicarbonate","1","['organic chemical', 'pharmacologic substance']"
"irregular pulse","1","['finding']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"antihypertensive agents","1","['pathologic function', 'pharmacologic substance']"
"orange allergenic extract","1","['pharmacologic substance']"
"rhythm","1","['finding']"
"insulin","1","['pharmacologic substance']"
"low sodium diet","1","['finding', 'therapeutic or preventive procedure']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"anemia severe","1","['disease or syndrome']"
"renal function","1","['organ or tissue function']"
"burn injury","1","['finding', 'injury or poisoning']"
"asthenia","1","['sign or symptom']"
"hemodialysis","1","['therapeutic or preventive procedure']"
"squash allergenic extract","1","['pharmacologic substance']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"serum potassium result","1","['laboratory or test result']"
"heart ventricle","1","['body part, organ, or organ component']"
"tachycardia ventricular","1","['finding', 'pathologic function']"
"nausea","1","['finding', 'sign or symptom']"
"calcium","1","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"pumpkin preparation","1","['pharmacologic substance']"
"anemia hemolytic","1","['disease or syndrome']"
"comatose","1","['congenital abnormality', 'disease or syndrome']"
"loop diuretics","1","['pharmacologic substance']"
"prune preparation","1","['organic chemical', 'pharmacologic substance']"
