"eosinophilic granuloma"
"hand-schuller-christian disease"
"histiocytosis x"
"langerhans cell histiocytosis"
"letterer-siwe disease"
"nonlipid reticuloendotheliosis"
"pulmonary histiocytosis x"
"pulmonary langerhans cell granulomatosis"
"histiocytosis","15","['pathologic function']"
"skeletal bone","10","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"malaise","4","['finding', 'sign or symptom']"
"lead","3","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"histiocytosis langerhans-cell","3","['disease or syndrome']"
"adverse event associated with death","2","['finding']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"scalp structure","2","['body part, organ, or organ component']"
"pulmonary histiocytosis x","2","['disease or syndrome']"
"dyspnea","2","['sign or symptom']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"exanthema","2","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"plain x-ray","2","['diagnostic procedure']"
"specimen type - whole body","2","['body substance']"
"respiratory air","2","['body substance']"
"body weight decreased","2","['finding']"
"marrow","2","['body part, organ, or organ component']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"x-ray computed tomography","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"radiologic examination osseous survey complete","1","['diagnostic procedure']"
"swelling","1","['finding', 'pathologic function']"
"mental deterioration","1","['pathologic function']"
"increased frequency of micturition","1","['finding']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"bronchoscopy","1","['diagnostic procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"bone pain","1","['finding', 'sign or symptom']"
"etoposide","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"anemia","1","['disease or syndrome']"
"t-cell lymphoma","1","['neoplastic process']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"dizziness","1","['finding', 'sign or symptom']"
"scanning","1","['diagnostic procedure', 'finding']"
"methotrexate","1","['organic chemical', 'pharmacologic substance']"
"seborrheic dermatitis","1","['disease or syndrome', 'pathologic function']"
"lung problem","1","['disease or syndrome']"
"pituitary gland","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"respiratory physiology","1","['organ or tissue function']"
"inflammation","1","['pathologic function']"
"pulmonary fibrosis","1","['disease or syndrome']"
"interstitial fibrosis","1","['disease or syndrome']"
"immune system processes","1","['organ or tissue function']"
"leg","1","['body location or region']"
"small airways","1","['finding']"
"cough pain","1","['finding']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"hamman-rich syndrome","1","['disease or syndrome']"
"anaplastic oligodendroglioma","1","['neoplastic process']"
"irritable mood","1","['finding']"
"malignant histiocytosis","1","['neoplastic process']"
"other medications","1","['pharmacologic substance']"
"physical therapy","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"cyclophosphamide","1","['biologically active substance', 'disease or syndrome', 'hazardous or poisonous substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"cough with fever","1","['sign or symptom']"
"petechiae","1","['disease or syndrome']"
"seizures","1","['finding', 'sign or symptom']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"vertebral column","1","['body part, organ, or organ component']"
"bone lesion","1","['disease or syndrome']"
"headache","1","['sign or symptom']"
"observation of attack","1","['finding']"
"cessation of smoking","1","['finding', 'individual behavior']"
"antibiotics","1","['antibiotic']"
"lymph","1","['body substance']"
"ear drainage","1","['therapeutic or preventive procedure']"
"purpura","1","['disease or syndrome']"
"pulmonary function tests","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"airway structure","1","['body part, organ, or organ component']"
"tissue damage","1","['injury or poisoning']"
"vinblastine","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"delayed puberty","1","['pathologic function']"
"icterus","1","['finding', 'pathologic function']"
"tissue growth","1","['organ or tissue function']"
"diabetes insipidus","1","['disease or syndrome']"
"failure to thrive","1","['disease or syndrome']"
"short stature","1","['congenital abnormality', 'disease or syndrome', 'finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"encounter due to puberty","1","['finding']"
"chest x-ray","1","['diagnostic procedure']"
"bronchioles","1","['body part, organ, or organ component']"
"height / growth measure","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"ear structure","1","['body part, organ, or organ component', 'body substance']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"spontaneous pneumothorax","1","['disease or syndrome']"
"smoker","1","['finding']"
"chest pain","1","['sign or symptom']"
