"fibrosing mediastinitis"
"ohio river valley fever"
"histoplasmosis","11","['disease or syndrome']"
"lung","5","['body part, organ, or organ component', 'disease or syndrome']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"heart","3","['body part, organ, or organ component', 'pharmacologic substance']"
"fever","3","['finding']"
"antifungal agents","3","['pharmacologic substance']"
"fungus in medical device environment","3","['finding']"
"lymph nodes","2","['body part, organ, or organ component']"
"dyspnea","2","['sign or symptom']"
"chest ct","2","['diagnostic procedure']"
"esophagus","2","['body part, organ, or organ component', 'disease or syndrome']"
"physical findings","2","['finding']"
"immune system finding","2","['finding']"
"lymphadenopathy","2","['disease or syndrome', 'finding']"
"respiratory air","2","['body substance']"
"cough pain","1","['finding']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"droppings","1","['body substance']"
"amphotericin","1","['antibiotic']"
"number of patients","1","['finding']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"sputum","1","['body substance']"
"bronchiectasis","1","['disease or syndrome']"
"transplanted organ","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"ketoconazole","1","['organic chemical', 'pharmacologic substance']"
"anatomic node","1","['body part, organ, or organ component']"
"short period","1","['finding']"
"mild adverse event","1","['finding']"
"brain and spinal cord","1","['body part, organ, or organ component']"
"skin bump","1","['sign or symptom']"
"dental caries","1","['disease or syndrome']"
"chest x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"itraconazole","1","['organic chemical', 'pharmacologic substance']"
"erythema nodosum","1","['disease or syndrome']"
"headache","1","['sign or symptom']"
"oral pain","1","['sign or symptom']"
"both legs","1","['body part, organ, or organ component']"
"leg","1","['body location or region']"
"spinal puncture","1","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"veins","1","['body part, organ, or organ component']"
"adverse event associated with death","1","['finding']"
"bronchoscopy","1","['diagnostic procedure']"
"plain x-ray","1","['diagnostic procedure']"
"marrow","1","['body part, organ, or organ component']"
"granuloma","1","['pathologic function']"
"chicken allergenic extract","1","['pharmacologic substance']"
"cerebrospinal fluid","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"neck stiffness","1","['sign or symptom']"
"systemic histoplasmosis","1","['disease or syndrome']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"body part","1","['body location or region', 'body part, organ, or organ component']"
"transplantation","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"proteins","1","['biologically active substance']"
"chills","1","['sign or symptom']"
"pulmonary emphysema","1","['disease or syndrome', 'pathologic function']"
