"human immunodeficiency virus infection"
"hiv","35","['disease or syndrome', 'pharmacologic substance', 'virus']"
"acquired immunodeficiency syndrome","8","['disease or syndrome']"
"pharmaceutical preparations","7","['pharmacologic substance']"
"sexual intercourse - finding","7","['finding']"
"blood transfusion","4","['therapeutic or preventive procedure']"
"semen","3","['body substance']"
"immune system finding","3","['finding']"
"cd4 antigens","3","['receptor']"
"plasma","2","['body substance']"
"pharmacologic substance","2","['pharmacologic substance', 'therapeutic or preventive procedure']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"immunologic deficiency syndromes","2","['disease or syndrome']"
"leukoencephalopathy progressive multifocal","2","['biologically active substance', 'disease or syndrome', 'neoplastic process']"
"infusion of drug","2","['therapeutic or preventive procedure']"
"candidiasis","2","['disease or syndrome']"
"protection","2","['finding']"
"ctcae cd4 count","2","['finding']"
"aids dementia complex","2","['disease or syndrome']"
"anal sex","2","['individual behavior']"
"pneumonia pneumocystis carinii","2","['disease or syndrome', 'hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"candida albicans extract","2","['pharmacologic substance']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"organ transplantation","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"tears - specimentype","1","['body substance']"
"swelling","1","['finding', 'pathologic function']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"hiv seropositivity","1","['finding']"
"artificial insemination","1","['finding', 'therapeutic or preventive procedure']"
"pneumocystis infections","1","['disease or syndrome']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"breast","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"sore throat","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'sign or symptom']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"opportunistic infections","1","['disease or syndrome']"
"milk human","1","['body substance']"
"illicit drugs","1","['hazardous or poisonous substance', 'pharmacologic substance']"
"disease transmission","1","['pathologic function']"
"mycobacterium infections","1","['disease or syndrome']"
"seborrheic dermatitis","1","['disease or syndrome', 'pathologic function']"
"sore to touch","1","['sign or symptom']"
"muscular stiffness","1","['sign or symptom']"
"hiv lipodystrophy","1","['neoplastic process']"
"muscle stiffness or aching","1","['finding']"
"body organ structure","1","['body part, organ, or organ component']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"congestion of throat","1","['sign or symptom']"
"needlestick injuries","1","['injury or poisoning']"
"hiv infections","1","['disease or syndrome', 'virus']"
"disease screening","1","['diagnostic procedure']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"wasting","1","['disease or syndrome']"
"gravidity","1","['finding']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"toxoplasmosis","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"psoriasis","1","['disease or syndrome']"
"lymph","1","['body substance']"
"nursing therapy","1","['therapeutic or preventive procedure']"
"pneumocystis jiroveci pneumonia","1","['disease or syndrome']"
"asymptomatic hiv infection","1","['disease or syndrome']"
"mycobacterium avium-intracellulare infection","1","['disease or syndrome']"
"gland","1","['body part, organ, or organ component']"
"encounter due to being a donor","1","['finding']"
"body weight decreased","1","['finding']"
"salmonella infections","1","['disease or syndrome', 'injury or poisoning']"
"diarrhea","1","['finding', 'sign or symptom']"
"kidney","1","['body part, organ, or organ component']"
"angiomatosis bacillary","1","['disease or syndrome']"
"vaginal yeast","1","['disease or syndrome']"
"fever","1","['finding']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"yeast infection","1","['disease or syndrome']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"fatigue","1","['sign or symptom']"
"asymptomatic infections","1","['disease or syndrome']"
"neurological problem","1","['finding']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"antiviral agents","1","['pharmacologic substance']"
