"face","4","['body location or region', 'disease or syndrome']"
"cognitive therapy","3","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"neurological observations","2","['finding']"
"spinal puncture","2","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"pupil","2","['body part, organ, or organ component']"
"tissue damage","1","['injury or poisoning']"
"mineralocorticoid receptor","1","['disease or syndrome', 'receptor']"
"cluster headache","1","['disease or syndrome']"
"hypothalamic structure","1","['body part, organ, or organ component']"
"set protein human","1","['biologically active substance']"
"iris douglasiana flower essence","1","['pharmacologic substance']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"set of nerve fibers","1","['body part, organ, or organ component']"
"brachial plexus structure","1","['body part, organ, or organ component']"
"coloring excipient","1","['pharmacologic substance']"
"lumbar region","1","['body location or region']"
"chest x-ray","1","['diagnostic procedure']"
"sympathetic nerve structure","1","['body part, organ, or organ component']"
"chest ct","1","['diagnostic procedure']"
"fiber","1","['organic chemical', 'pharmacologic substance']"
"miosis disorder","1","['finding', 'organ or tissue function']"
"plain x-ray","1","['diagnostic procedure']"
"brain stem","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"ptosis","1","['acquired abnormality', 'disease or syndrome']"
"redness of eye","1","['sign or symptom']"
"neck","1","['body location or region']"
"cerebral angiogram","1","['diagnostic procedure']"
"carotid arteries","1","['body part, organ, or organ component']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"migraine disorders","1","['disease or syndrome', 'therapeutic or preventive procedure']"
