"mucopolysaccharidosis type ii, iduronate sulfatase deficiency"
"enzymes","4","['enzyme', 'organic chemical']"
"iduronate sulfatase","3","['enzyme']"
"sulfatases","3","['enzyme']"
"mild adverse event","3","['finding']"
"genetic carriers","3","['finding']"
"deafness","2","['disease or syndrome', 'finding']"
"contracture","2","['acquired abnormality']"
"serum","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"muscle spasticity","2","['sign or symptom']"
"heart murmur","2","['finding']"
"sulfates inorganic","2","['inorganic chemical']"
"dermatan sulfate","2","['biologically active substance']"
"joint stiffness","2","['sign or symptom']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"tissue damage","1","['injury or poisoning']"
"hearing examination finding","1","['finding']"
"sugars","1","['pharmacologic substance']"
"hyperactive behavior","1","['finding']"
"hair","1","['body part, organ, or organ component']"
"heart valves","1","['body part, organ, or organ component']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"hepatomegaly","1","['sign or symptom']"
"disability","1","['finding']"
"bone marrow transplantation","1","['therapeutic or preventive procedure']"
"does talk","1","['finding']"
"bone structure of carpus","1","['body part, organ, or organ component']"
"anatomic valve","1","['body part, organ, or organ component']"
"retina","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"joint contractures","1","['acquired abnormality']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"hypertrichosis","1","['disease or syndrome', 'finding']"
"idursulfase","1","['enzyme', 'pharmacologic substance']"
"elaprase","1","['enzyme', 'pharmacologic substance']"
"early-onset","1","['finding']"
"face","1","['body location or region', 'disease or syndrome']"
"splenomegaly","1","['finding']"
"mental deficiency","1","['mental or behavioral dysfunction']"
"mental retardation","1","['mental or behavioral dysfunction']"
"heparitin sulfate","1","['biologically active substance']"
"veins","1","['body part, organ, or organ component']"
"male gender","1","['finding']"
