"anemia - immune hemolytic"
"autoimmune hemolytic anemia (aiha)"
"anemia","9","['disease or syndrome']"
"blood transfusion","7","['therapeutic or preventive procedure']"
"red blood cells blood product","6","['pharmacologic substance']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"splenectomy","4","['therapeutic or preventive procedure']"
"anemia hemolytic","4","['disease or syndrome']"
"hemoglobin","3","['biologically active substance', 'finding']"
"immune system finding","3","['finding']"
"blood types","2","['clinical attribute']"
"tissue damage","2","['injury or poisoning']"
"coloring excipient","2","['pharmacologic substance']"
"physical findings","2","['finding']"
"immunoglobulins intravenous","2","['pharmacologic substance']"
"headache","1","['sign or symptom']"
"respiratory air","1","['body substance']"
"rituxan","1","['pharmacologic substance']"
"azathioprine","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"deterioration of status","1","['finding']"
"imuran","1","['organic chemical', 'pharmacologic substance']"
"finding of red blood cell count","1","['laboratory or test result']"
"dyspnea","1","['sign or symptom']"
"pallor","1","['finding', 'sign or symptom']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"reticulocyte count result","1","['laboratory or test result']"
"mild adverse event","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"r.b.c","1","['organic chemical', 'pharmacologic substance']"
"chest","1","['body location or region', 'disease or syndrome']"
"toxin","1","['biologically active substance', 'hazardous or poisonous substance']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"cytoxan","1","['pharmacologic substance']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"lifetime drinking history","1","['enzyme', 'finding']"
"prednisone","1","['pharmacologic substance']"
"cyclophosphamide","1","['biologically active substance', 'disease or syndrome', 'hazardous or poisonous substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"asthenia","1","['sign or symptom']"
"immune hemolytic anemia","1","['disease or syndrome']"
"fatigue","1","['sign or symptom']"
"rituximab","1","['pharmacologic substance']"
"hematocrit level","1","['laboratory or test result']"
"anemia severe","1","['disease or syndrome']"
"excision","1","['therapeutic or preventive procedure']"
"adverse event associated with death","1","['finding']"
"enzymes","1","['enzyme', 'organic chemical']"
"nail plate","1","['body part, organ, or organ component', 'body substance']"
"spleen","1","['body part, organ, or organ component']"
"bilirubin level result","1","['laboratory or test result']"
"glossalgia","1","['sign or symptom']"
"trachyonychia","1","['finding']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
"idiopathic autoimmune hemolytic anemia","1","['disease or syndrome']"
"finding of serum bilirubin level","1","['laboratory or test result']"
"haptoglobins","1","['biologically active substance', 'finding']"
"other medications","1","['pharmacologic substance']"
