"occupational bronchitis"
"bronchitis","5","['disease or syndrome']"
"lung","4","['body part, organ, or organ component', 'disease or syndrome']"
"smoking","3","['hazardous or poisonous substance', 'individual behavior']"
"strong acid","2","['inorganic chemical']"
"chest ct","2","['diagnostic procedure']"
"acute insulin response","2","['finding']"
"tissue damage","1","['injury or poisoning']"
"respiratory air","1","['body substance']"
"metals","1","['inorganic chemical']"
"irritants","1","['hazardous or poisonous substance']"
"dyspnea","1","['sign or symptom']"
"cotton allergenic extract","1","['pharmacologic substance']"
"disability","1","['finding']"
"chest x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"thuja lobbi preparation","1","['organic chemical', 'pharmacologic substance']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"smoke","1","['hazardous or poisonous substance', 'individual behavior']"
"asbestos","1","['hazardous or poisonous substance', 'inorganic chemical']"
"tolylene diisocyanate","1","['hazardous or poisonous substance', 'organic chemical']"
"rales","1","['finding', 'sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"toluene","1","['organic chemical']"
"fluid intake","1","['clinical attribute']"
"latex","1","['organic chemical']"
"sputum","1","['body substance']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"face","1","['body location or region', 'disease or syndrome']"
"coal","1","['organic chemical']"
"pulmonary function tests","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"talc","1","['inorganic chemical', 'pharmacologic substance']"
"mucous body substance","1","['body substance', 'neoplastic process']"
"airway structure","1","['body part, organ, or organ component']"
