"chronic insomnia"
"learned insomnia"
"primary insomnia"
"sleep disorder - insomnia"
"sleeplessness","13","['finding', 'sign or symptom']"
"pharmaceutical preparations","11","['pharmacologic substance']"
"asleep","8","['finding']"
"behaviorial habits","5","['individual behavior']"
"anxiety disorders","5","['finding', 'mental or behavioral dysfunction']"
"hours of sleep","3","['finding']"
"sedatives","2","['pharmacologic substance']"
"antidepressive agents","2","['pharmacologic substance']"
"initial insomnia","2","['mental or behavioral dysfunction']"
"stress","2","['finding', 'organic chemical', 'pharmacologic substance']"
"self care hygiene","2","['finding']"
"sleep disorders","1","['disease or syndrome', 'sign or symptom']"
"sleep difficulties","1","['sign or symptom']"
"physical findings","1","['finding']"
"wake ups","1","['organic chemical', 'pharmacologic substance']"
"rebound insomnia","1","['sign or symptom']"
"memory impairment","1","['finding', 'mental or behavioral dysfunction']"
"hyposomnia","1","['pathologic function']"
"somnolence","1","['finding']"
"cold medication","1","['pharmacologic substance']"
"does talk","1","['finding']"
"seasonal affective disorder","1","['finding', 'mental or behavioral dysfunction']"
"ingredient","1","['chemical viewed functionally']"
"sleep apnea syndromes","1","['disease or syndrome']"
"drowsiness","1","['finding']"
"other drugs","1","['pharmacologic substance']"
"falls","1","['finding', 'injury or poisoning']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"antihistamines","1","['organic chemical', 'pharmacologic substance']"
"malaise","1","['finding', 'sign or symptom']"
"awake","1","['finding']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"depressed mood","1","['finding', 'mental or behavioral dysfunction']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"pain or discomfort","1","['sign or symptom']"
"accidents","1","['injury or poisoning']"
"immune system finding","1","['finding']"
"polysomnography","1","['diagnostic procedure']"
"memory observations","1","['finding']"
"daytime sleepiness","1","['finding']"
"feeling tired","1","['sign or symptom']"
