"sleep paralysis - isolated"
"paralysed","7","['finding']"
"sleep paralysis","6","['pathologic function']"
"anxiety disorders","2","['finding', 'mental or behavioral dysfunction']"
"unable to move","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"spell","1","['finding']"
"back","1","['body location or region']"
"hours of sleep","1","['finding']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"hallucinations","1","['mental or behavioral dysfunction']"
"hyposomnia","1","['pathologic function']"
"polysomnography","1","['diagnostic procedure']"
