"fungal infection - groin"
"infection - fungal - groin"
"itching in the groin"
"ringworm - groin"
"tinea cruris"
"tinea of the groin"
"pruritus","15","['sign or symptom']"
"tinea cruris","14","['disease or syndrome']"
"inguinal region","7","['body location or region']"
"fungus in medical device environment","4","['finding']"
"potassium hydroxide","2","['inorganic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"anus","2","['body part, organ, or organ component', 'disease or syndrome']"
"lichen simplex chronicus","2","['disease or syndrome']"
"thigh structure","2","['body location or region']"
"wetness","1","['finding']"
"foot","1","['body part, organ, or organ component']"
"eczema","1","['disease or syndrome']"
"skin clean","1","['finding']"
"skin diseases infectious","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"lichen disease","1","['disease or syndrome']"
"infestation by phthirus pubis","1","['disease or syndrome']"
"coloring excipient","1","['pharmacologic substance']"
"body louse infestation","1","['disease or syndrome']"
"vaginal itching","1","['sign or symptom']"
"neoplasm metastasis","1","['neoplastic process']"
"pruritus ani","1","['sign or symptom']"
"scrotum","1","['body part, organ, or organ component', 'disease or syndrome']"
"upper thigh","1","['body location or region']"
"antibiotics","1","['antibiotic']"
"malaise","1","['finding', 'sign or symptom']"
"physical findings","1","['finding']"
"penis","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"simple lobule of cerebellum","1","['body part, organ, or organ component', 'organic chemical']"
"scraping","1","['therapeutic or preventive procedure']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"bacterial infections","1","['disease or syndrome']"
"dietary potassium","1","['inorganic chemical']"
