"hypertrophic scar"
"keloid scar"
"scar - hypertrophic"
"keloid","9","['acquired abnormality']"
"injury wounds","2","['body substance', 'injury or poisoning']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"cicatrix","2","['finding', 'pathologic function']"
"excision","2","['therapeutic or preventive procedure']"
"injection procedure","1","['therapeutic or preventive procedure']"
"piercing of external ear","1","['finding', 'therapeutic or preventive procedure']"
"neoplasms","1","['finding', 'neoplastic process']"
"tissue growth","1","['organ or tissue function']"
"imiquimod","1","['organic chemical', 'pharmacologic substance']"
"dermatitis verrucosa","1","['disease or syndrome']"
"acne","1","['disease or syndrome']"
"coloring excipient","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"silicones","1","['organic chemical']"
"burn injury","1","['finding', 'injury or poisoning']"
"silicone gels","1","['organic chemical']"
"physical findings","1","['finding']"
"cryosurgery","1","['therapeutic or preventive procedure']"
"laser treatment","1","['therapeutic or preventive procedure']"
"scar tissue","1","['finding', 'pathologic function']"
"tumor growth","1","['neoplastic process']"
"incised wound","1","['injury or poisoning']"
