"pain - knee"
"knee","38","['body part, organ, or organ component']"
"ice","4","['enzyme', 'hazardous or poisonous substance', 'inorganic chemical', 'organic chemical', 'therapeutic or preventive procedure']"
"inflammation","3","['pathologic function']"
"structure of calf of leg","2","['body location or region']"
"stretching exercises","2","['therapeutic or preventive procedure']"
"history of recreational running","2","['finding']"
"rupture","2","['body substance', 'finding', 'injury or poisoning']"
"deterioration of status","1","['finding']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"posterior muscle of thigh structure","1","['body part, organ, or organ component']"
"dislocations","1","['injury or poisoning']"
"muscle strain","1","['injury or poisoning']"
"bone neoplasms","1","['neoplastic process']"
"strengthening exercises","1","['therapeutic or preventive procedure']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"hemorrhage","1","['pathologic function', 'therapeutic or preventive procedure']"
"redness","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"laceration","1","['body substance', 'finding', 'injury or poisoning']"
"knee injuries","1","['injury or poisoning']"
"weight bearing","1","['finding']"
"acquired flat foot","1","['acquired abnormality', 'congenital abnormality']"
"mild adverse event","1","['finding']"
"knee swelling","1","['finding']"
"cataract anterior polar","1","['acquired abnormality', 'disease or syndrome', 'therapeutic or preventive procedure']"
"severe pain","1","['sign or symptom']"
"connective tissue diseases","1","['disease or syndrome']"
"problem knee","1","['finding']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"does stand","1","['finding']"
"knee.bilateral","1","['body part, organ, or organ component']"
"hip region structure","1","['biologically active substance', 'body part, organ, or organ component']"
"tear of meniscus of knee","1","['injury or poisoning']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"anterior cruciate ligament","1","['body part, organ, or organ component']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"arch of foot","1","['body location or region']"
"degenerative polyarthritis","1","['congenital abnormality', 'disease or syndrome', 'finding']"
"has tingling sensation","1","['sign or symptom']"
"malaise","1","['finding', 'sign or symptom']"
"dental cementum","1","['body part, organ, or organ component']"
"meniscus structure of joint","1","['body part, organ, or organ component']"
"accidents","1","['injury or poisoning']"
"anatomic site","1","['body location or region']"
"knee strain","1","['injury or poisoning']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"bursitis of knee","1","['disease or syndrome']"
"structure of collateral ligament","1","['body part, organ, or organ component']"
"synovial fluid","1","['body substance']"
"stand &or walk","1","['finding']"
"instability","1","['finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"structure of quadriceps femoris muscle","1","['body part, organ, or organ component']"
"sprain","1","['injury or poisoning']"
