"hunchback"
"postural kyphosis"
"roundback"
"scheuermann's disease"
"congenital kyphosis","13","['congenital abnormality']"
"vertebral column","6","['body part, organ, or organ component']"
"fracture","5","['finding', 'injury or poisoning']"
"osteoporosis","4","['disease or syndrome', 'finding']"
"fractures compression","3","['pathologic function']"
"congenital abnormality","2","['congenital abnormality', 'disease or syndrome']"
"bone structure of spine","2","['body part, organ, or organ component']"
"connective tissue diseases","2","['disease or syndrome']"
"weakness","2","['sign or symptom']"
"neurological observations","2","['finding']"
"paralysed","2","['finding']"
"spondylolisthesis","1","['congenital abnormality', 'disease or syndrome']"
"scheuermann s disease","1","['disease or syndrome']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"congenital disorders","1","['congenital abnormality', 'disease or syndrome']"
"neoplasms","1","['finding', 'neoplastic process']"
"back","1","['body location or region']"
"abnormal degeneration","1","['pathologic function']"
"poliomyelitis","1","['disease or syndrome']"
"physical findings","1","['finding']"
"muscular dystrophy","1","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"trauma/injury problem","1","['injury or poisoning']"
"spina bifida","1","['congenital abnormality', 'disease or syndrome', 'finding']"
"sore to touch","1","['sign or symptom']"
"esthesia","1","['finding', 'organ or tissue function']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"monoparesis - leg","1","['finding']"
"dyspnea","1","['sign or symptom']"
"endocrine system diseases","1","['disease or syndrome', 'finding']"
"neurofibromatoses","1","['neoplastic process']"
"lung capacities","1","['organ or tissue function']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"arthritis","1","['disease or syndrome']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"plain x-ray spine","1","['diagnostic procedure']"
"intervertebral disc degeneration","1","['disease or syndrome']"
"pulmonary function tests","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"stiffness","1","['sign or symptom']"
"magnetic resonance imaging","1","['diagnostic procedure']"
