"acidosis lactic","4","['disease or syndrome']"
"lactic acid","2","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"electrolyte levels","2","['laboratory or test result']"
"physical findings","1","['finding']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"septicemia","1","['disease or syndrome', 'finding', 'pathologic function']"
"nausea","1","['finding', 'sign or symptom']"
"respiratory failure","1","['disease or syndrome', 'pathologic function']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"weakness","1","['sign or symptom']"
"diabetes","1","['disease or syndrome']"
"malignant neoplasm of kidney","1","['neoplastic process']"
"metformin","1","['organic chemical', 'pharmacologic substance']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"exercise pain management","1","['therapeutic or preventive procedure']"
