"esophagogastric ring"
"schatzki's ring"
"esophageal ring lower","4","['disease or syndrome']"
"terminal esophageal web","4","['disease or syndrome']"
"esophageal diseases","4","['disease or syndrome']"
"esophagus","4","['body part, organ, or organ component', 'disease or syndrome']"
"swallowing problems","2","['sign or symptom']"
"sternum","2","['body part, organ, or organ component']"
"stomach","2","['body part, organ, or organ component', 'disease or syndrome']"
"esophagogastroduodenoscopy","2","['diagnostic procedure']"
"neck","1","['body location or region']"
"upper gastrointestinal series","1","['diagnostic procedure']"
"balloon dilatation","1","['therapeutic or preventive procedure']"
"neoplasms","1","['finding', 'neoplastic process']"
"esophageal stenosis","1","['disease or syndrome']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"tests and testing","1","['diagnostic procedure']"
"physical findings","1","['finding']"
