"age-related macular degeneration (armd)"
"amd"
"eye","18","['body part, organ, or organ component', 'body substance']"
"glycogen storage disease type ii","18","['disease or syndrome']"
"blood vessel","17","['body part, organ, or organ component', 'finding']"
"macule","7","['body part, organ, or organ component', 'sign or symptom']"
"abnormal degeneration","6","['pathologic function']"
"central vision","6","['organ or tissue function']"
"macular degeneration","6","['disease or syndrome']"
"blind vision","5","['disease or syndrome']"
"deterioration of status","3","['finding']"
"scotoma central","3","['finding']"
"perform","3","['pharmacologic substance']"
"tomography optical coherence","3","['diagnostic procedure', 'enzyme']"
"retina","3","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"back","2","['body location or region']"
"female","2","['finding']"
"zinc","2","['biologically active substance', 'pharmacologic substance']"
"age related macular degeneration","2","['disease or syndrome']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"face","2","['body location or region', 'disease or syndrome']"
"bevacizumab","2","['pharmacologic substance']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"tissue damage","1","['injury or poisoning']"
"fluorescein","1","['organic chemical']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"choroidal neovascularization","1","['pathologic function']"
"vitamins other","1","['organic chemical', 'pharmacologic substance']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"laser photocoagulation","1","['therapeutic or preventive procedure']"
"blood vessel abnormal","1","['finding']"
"laser surgery","1","['therapeutic or preventive procedure']"
"fundus photography","1","['diagnostic procedure']"
"antiangiogenesis therapy","1","['therapeutic or preventive procedure']"
"lucentis","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"carney complex type 1","1","['disease or syndrome']"
"blurred vision","1","['sign or symptom']"
"animal fat","1","['pharmacologic substance']"
"diet good","1","['therapeutic or preventive procedure']"
"angiogram","1","['diagnostic procedure']"
"carmustine/cytarabine/etoposide/melphalan regimen","1","['therapeutic or preventive procedure']"
"mild adverse event","1","['finding']"
"pupil","1","['body part, organ, or organ component']"
"follow-up status","1","['finding']"
"pathologic neovascularization","1","['pathologic function']"
"ranibizumab","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"antioxidants","1","['pharmacologic substance']"
"dilate eye","1","['therapeutic or preventive procedure']"
"cigarette smoking behavior","1","['individual behavior']"
"beta carotene","1","['organic chemical', 'pharmacologic substance']"
"light coagulation","1","['therapeutic or preventive procedure']"
"avastin","1","['pharmacologic substance']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"bony process","1","['body part, organ, or organ component']"
"dimesna","1","['organic chemical', 'pharmacologic substance']"
"optic nerve","1","['body part, organ, or organ component', 'disease or syndrome']"
"diet high-fat","1","['therapeutic or preventive procedure']"
"smoker","1","['finding']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"drusen","1","['acquired abnormality']"
"smoke","1","['hazardous or poisonous substance', 'individual behavior']"
"obesity","1","['disease or syndrome', 'finding']"
"exercise pain management","1","['therapeutic or preventive procedure']"
