"alopecia in men"
"androgenetic alopecia"
"baldness - male"
"hair loss in men"
"hair","36","['body part, organ, or organ component']"
"alopecia","29","['finding']"
"androgenetic alopecia","10","['disease or syndrome', 'enzyme', 'pharmacologic substance']"
"scalp structure","3","['body part, organ, or organ component']"
"multiple endocrine neoplasia","3","['antibiotic', 'neoplastic process', 'organic chemical']"
"male gender","3","['finding']"
"minoxidil","2","['organic chemical', 'pharmacologic substance']"
"hair follicle structure","2","['body part, organ, or organ component']"
"redness","2","['finding']"
"loss of self-esteem","1","['finding']"
"gonadal steroid hormones","1","['pharmacologic substance']"
"stress psychological","1","['mental or behavioral dysfunction']"
"production processing id","1","['finding']"
"hair whorls","1","['body part, organ, or organ component']"
"hair transplant procedure","1","['finding', 'therapeutic or preventive procedure']"
"abscess","1","['disease or syndrome', 'pathologic function']"
"sexual intercourse - finding","1","['finding']"
"lead","1","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"hole finding","1","['finding']"
"dental caries","1","['disease or syndrome']"
"finasteride","1","['pharmacologic substance']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"skin irritation","1","['sign or symptom']"
"contraceptives oral","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"cicatrix","1","['finding', 'pathologic function']"
"physical findings","1","['finding']"
"ptpns1 protein human","1","['receptor', 'therapeutic or preventive procedure']"
"male sex hormones result","1","['laboratory or test result']"
"proscar","1","['pharmacologic substance']"
"hair breakage","1","['finding']"
"propecia","1","['pharmacologic substance']"
"does sit","1","['finding']"
"receding hairline","1","['finding']"
"rogaine","1","['organic chemical', 'pharmacologic substance']"
"disease susceptibility","1","['clinical attribute']"
