"dermoid cyst - malignant"
"immature teratoma"
"nonseminomatous germ cell tumor - teratoma"
"malignant neoplasms","7","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"teratoma malignant","4","['neoplastic process']"
"x-ray computed tomography","3","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"scanning","2","['diagnostic procedure', 'finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"anatomical layer","2","['body part, organ, or organ component']"
"pharmacotherapy","2","['therapeutic or preventive procedure']"
"cognitive therapy","2","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"alpha-fetoproteins","2","['biologically active substance']"
"leukemia myelocytic acute","2","['neoplastic process']"
"anaplastic oligodendroglioma","2","['neoplastic process']"
"plain x-ray","1","['diagnostic procedure']"
"abdomen+pelvis","1","['body part, organ, or organ component']"
"bleomycin","1","['antibiotic', 'congenital abnormality', 'disease or syndrome', 'enzyme']"
"pelvis","1","['body location or region', 'body part, organ, or organ component']"
"fetal proteins","1","['biologically active substance']"
"dyspnea","1","['sign or symptom']"
"mass of body structure","1","['finding']"
"undifferentiated carcinoma","1","['neoplastic process']"
"chest+abdomen","1","['body location or region']"
"chest x-ray","1","['diagnostic procedure']"
"myeloid leukemia","1","['neoplastic process']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"myelodysplasia","1","['congenital abnormality', 'finding', 'neoplastic process']"
"respiratory air","1","['body substance']"
"abdomen","1","['body location or region']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"rhabdomyosarcoma embryonal","1","['neoplastic process']"
"miller dieker syndrome","1","['disease or syndrome', 'neoplastic process']"
"anatomic site","1","['body location or region']"
"cisplatin/etoposide protocol","1","['biologically active substance', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"veins","1","['body part, organ, or organ component']"
"cyst","1","['body substance', 'disease or syndrome']"
"malignant histiocytosis","1","['neoplastic process']"
