"nutrition - inadequate"
"malnutrition","16","['disease or syndrome']"
"vitamins","8","['organic chemical', 'pharmacologic substance']"
"vitamin deficiency","7","['disease or syndrome']"
"thiamine deficiency","2","['disease or syndrome']"
"starvation","2","['finding']"
"binge eating disorder","1","['mental or behavioral dysfunction']"
"tissue damage","1","['injury or poisoning']"
"hunger","1","['sign or symptom']"
"hair","1","['body part, organ, or organ component']"
"anemia megaloblastic","1","['disease or syndrome']"
"tissue growth","1","['organ or tissue function']"
"folacin","1","['organic chemical', 'pharmacologic substance']"
"superior segmental bronchus","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"nutrition assessment","1","['diagnostic procedure']"
"body weight decreased","1","['finding']"
"spina bifida","1","['congenital abnormality', 'disease or syndrome', 'finding']"
"vitamin e deficiency","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"alopecia","1","['finding']"
"unbalanced diet","1","['finding']"
"apical segmental bronchus","1","['body part, organ, or organ component']"
"lateral basal segmental bronchus","1","['body part, organ, or organ component']"
"lack of growth","1","['finding']"
"kwashiorkor","1","['disease or syndrome']"
"eating disorders","1","['mental or behavioral dysfunction']"
"rickets","1","['disease or syndrome']"
"pellagra","1","['disease or syndrome']"
"beriberi","1","['disease or syndrome']"
"bulimia","1","['mental or behavioral dysfunction']"
"pyridoxine deficiency","1","['disease or syndrome']"
"poverty","1","['group attribute']"
"riboflavin deficiency","1","['disease or syndrome']"
"vitamin a deficiency","1","['disease or syndrome']"
"vitamin b 6 deficiency","1","['disease or syndrome']"
"adverse event associated with death","1","['finding']"
"vitamin b6","1","['organic chemical', 'pharmacologic substance']"
"treated with","1","['therapeutic or preventive procedure']"
"posterior segmental bronchus","1","['body part, organ, or organ component']"
"physical disability","1","['pathologic function']"
"dizziness","1","['finding', 'sign or symptom']"
"folic acid","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
