"glycogen storage disease type v (gsdv)"
"muscle glycogen phosphorylase deficiency"
"myophosphorylase deficiency"
"pygm deficiency"
"exercise pain management","4","['therapeutic or preventive procedure']"
"muscle cramp","3","['sign or symptom']"
"electromyography","3","['diagnostic procedure']"
"muscular stiffness","2","['sign or symptom']"
"set of muscles","2","['body part, organ, or organ component']"
"vitality","2","['finding']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"specimen type - skeletal muscle","1","['body substance']"
"glycogen phosphorylase","1","['enzyme']"
"rhabdomyolysis","1","['pathologic function']"
"serum","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"kidney","1","['body part, organ, or organ component']"
"myoglobin","1","['biologically active substance']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"phosphotransferases","1","['enzyme']"
"myoglobinuria","1","['finding']"
"endurance","1","['finding']"
"lactic acid","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"ammonia","1","['inorganic chemical', 'pharmacologic substance']"
"source of energy","1","['finding']"
"plasma","1","['body substance']"
"phosphorylases","1","['enzyme']"
"hand","1","['body part, organ, or organ component']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"exercise intolerance","1","['sign or symptom']"
"enzymes","1","['enzyme', 'organic chemical']"
"total tissue","1","['body substance']"
"myalgia","1","['finding', 'sign or symptom']"
"muscle weakness","1","['sign or symptom']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"glucose","1","['biologically active substance', 'pharmacologic substance']"
"creatine kinase","1","['enzyme']"
