"polyostotic fibrous dysplasia"
"skeletal bone","9","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"congenital abnormality","4","['congenital abnormality', 'disease or syndrome']"
"precocious puberty","3","['disease or syndrome']"
"encounter due to puberty","3","['finding']"
"fracture","3","['finding', 'injury or poisoning']"
"gigantism","3","['disease or syndrome']"
"neoplasms","2","['finding', 'neoplastic process']"
"tissue growth","2","['organ or tissue function']"
"exanthema","2","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"osteitis fibrosa disseminata","2","['congenital abnormality', 'disease or syndrome']"
"physical findings","2","['finding']"
"bone growth","1","['organ or tissue function']"
"adrenal hormone preparation","1","['organic chemical', 'pharmacologic substance']"
"adrenal glands","1","['body part, organ, or organ component']"
"back","1","['body location or region']"
"ovarian cysts","1","['disease or syndrome']"
"production processing id","1","['finding']"
"icterus","1","['finding', 'pathologic function']"
"hemorrhage","1","['pathologic function', 'therapeutic or preventive procedure']"
"estrogens","1","['pharmacologic substance']"
"heart rhythm","1","['organ or tissue function', 'pathologic function']"
"prolactin","1","['pharmacologic substance']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"thyroid neoplasm","1","['neoplastic process']"
"coloring excipient","1","['pharmacologic substance']"
"inhibitors","1","['chemical viewed functionally']"
"entire hair of pubis","1","['body part, organ, or organ component']"
"deafness","1","['disease or syndrome', 'finding']"
"fatty liver","1","['disease or syndrome', 'pathologic function']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"hypophosphatemia","1","['pathologic function']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"fibrous dysplasia","1","['congenital abnormality', 'disease or syndrome']"
"hyperparathyroidism","1","['disease or syndrome']"
"breast","1","['body part, organ, or organ component']"
"testolactone","1","['pharmacologic substance']"
"hormone antagonists","1","['pharmacologic substance']"
"hyperthyroidism","1","['disease or syndrome']"
"growth hormone","1","['pharmacologic substance']"
"pituitary gland cyst","1","['finding']"
"face","1","['body location or region', 'disease or syndrome']"
"pituitary adenoma","1","['neoplastic process']"
"osteitis fibrosa cystica","1","['disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
