"diverticulum","8","['pathologic function']"
"feces","4","['body substance']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"hemorrhage","2","['pathologic function', 'therapeutic or preventive procedure']"
"hematochezia","1","['finding', 'sign or symptom']"
"hemoglobin","1","['biologically active substance', 'finding']"
"smear test","1","['diagnostic procedure']"
"intussusception","1","['disease or syndrome']"
"bleeding site unspecified","1","['sign or symptom']"
"pancreas","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"blood in stool","1","['finding', 'sign or symptom']"
"abdomen","1","['body location or region']"
"physical findings","1","['finding']"
"tract","1","['body part, organ, or organ component']"
"hematocrit level","1","['laboratory or test result']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
"anemia","1","['disease or syndrome']"
"hematocrit/hemoglobin","1","['finding']"
"peritonitis","1","['disease or syndrome']"
"iron","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
