"eye tumor"
"malignant melanoma - choroid"
"malignant melanoma - eye"
"ocular melanoma"
"eye","23","['body part, organ, or organ component', 'body substance']"
"malignant neoplasms","7","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"melanoma ocular","7","['neoplastic process']"
"iris douglasiana flower essence","3","['pharmacologic substance']"
"neoplasm metastasis","3","['neoplastic process']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"exposure to sunlight","2","['injury or poisoning']"
"eye enucleation procedure","2","['therapeutic or preventive procedure']"
"excision","2","['therapeutic or preventive procedure']"
"anatomic site","2","['body location or region']"
"anatomical layer","1","['body part, organ, or organ component']"
"blind vision","1","['disease or syndrome']"
"color of iris","1","['finding']"
"ultrasound study of eye","1","['diagnostic procedure']"
"ultrasonography","1","['diagnostic procedure']"
"mechanical detachment","1","['pathologic function']"
"coloring excipient","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"ciliary body","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"affected area","1","['finding']"
"choroid","1","['body part, organ, or organ component']"
"retinal detachment","1","['acquired abnormality', 'finding']"
"protection","1","['finding']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"exophthalmos","1","['disease or syndrome']"
"mass of body structure","1","['finding']"
"conjunctiva","1","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"visual impairment","1","['disease or syndrome']"
"brachytherapy","1","['therapeutic or preventive procedure']"
