"chloasma"
"mask of pregnancy"
"pregnancy mask"
"chloasma","7","['disease or syndrome']"
"coloring excipient","3","['pharmacologic substance']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"face","3","['body location or region', 'disease or syndrome']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"lymphoid interstitial pneumonia","1","['body part, organ, or organ component', 'disease or syndrome']"
"hormone replacement therapy","1","['therapeutic or preventive procedure']"
"other changes in skin color","1","['sign or symptom']"
"localized desquamation","1","['finding', 'pathologic function']"
"progesterone","1","['pharmacologic substance']"
"skin wrinkling","1","['finding']"
"oral contraception","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"tretinoin","1","['organic chemical', 'pharmacologic substance', 'receptor']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"kojic acid","1","['organic chemical', 'pharmacologic substance']"
"malignant neoplasm of skin","1","['neoplastic process']"
"contraceptives oral","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"pigment","1","['chemical viewed functionally']"
"azelaic acid","1","['organic chemical', 'pharmacologic substance']"
"chemical peeling of skin lesion","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"contraceptive agents","1","['pharmacologic substance']"
"cheek structure","1","['body location or region']"
"upper lip structure","1","['body part, organ, or organ component']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"laser treatment","1","['therapeutic or preventive procedure']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
