"h. flu meningitis"
"h. influenzae meningitis"
"meningitis","15","['disease or syndrome']"
"influenza","9","['disease or syndrome', 'pharmacologic substance']"
"cerebrospinal fluid","5","['biologically active substance', 'body substance', 'pharmacologic substance']"
"antibiotics","4","['antibiotic']"
"body fluids","3","['biologically active substance', 'body substance', 'pharmacologic substance']"
"vaccines","3","['pharmacologic substance']"
"fever","3","['finding']"
"spinal puncture","3","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"hibtiter","2","['pharmacologic substance']"
"meningitis cryptococcal","2","['disease or syndrome']"
"meningococcal meningitis","2","['disease or syndrome']"
"mental status adverse event","2","['finding']"
"meningitis pneumococcal","2","['disease or syndrome']"
"staphylococcal meningitis","2","['disease or syndrome']"
"physical findings","2","['finding']"
"neck stiffness","2","['sign or symptom']"
"immunization","2","['therapeutic or preventive procedure']"
"irritable mood","2","['finding']"
"agitation","1","['finding', 'sign or symptom']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"self care hygiene","1","['finding']"
"meningitis bacterial","1","['disease or syndrome']"
"heart rate","1","['clinical attribute']"
"ampicillin","1","['antibiotic', 'organic chemical']"
"entire head and neck","1","['body location or region']"
"gram s stain","1","['organic chemical']"
"seizures","1","['finding', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"meningitis due to h. influenzae","1","['disease or syndrome']"
"sore to touch","1","['sign or symptom']"
"cancer of ear auricle","1","['neoplastic process']"
"brain and spinal cord","1","['body part, organ, or organ component']"
"lumbar region","1","['body location or region']"
"chest x-ray","1","['diagnostic procedure']"
"inflammation","1","['pathologic function']"
"depressed level of consciousness","1","['finding']"
"crying","1","['individual behavior']"
"deafness","1","['disease or syndrome', 'finding']"
"brain injuries","1","['injury or poisoning']"
"photophobia severe","1","['finding']"
"tachycardia","1","['finding']"
"tachypnea","1","['sign or symptom']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"ear structure","1","['body part, organ, or organ component', 'body substance']"
"meninges","1","['body part, organ, or organ component', 'disease or syndrome']"
"pharyngitis","1","['disease or syndrome', 'sign or symptom']"
"meningism","1","['sign or symptom']"
"tuberculosis meningeal","1","['disease or syndrome']"
"headache severe","1","['sign or symptom']"
"hand","1","['body part, organ, or organ component']"
"bulging fontanelle","1","['sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"immune system finding","1","['finding']"
"adverse event associated with death","1","['finding']"
"behaviorial habits","1","['individual behavior']"
"consciousness related finding","1","['finding']"
"sore throat","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'sign or symptom']"
"hearing examination finding","1","['finding']"
"ceftriaxone","1","['antibiotic', 'organic chemical']"
"tissue damage","1","['injury or poisoning']"
"chills","1","['sign or symptom']"
"native american healing","1","['therapeutic or preventive procedure']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"otitis media","1","['disease or syndrome']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"aseptic meningitis","1","['disease or syndrome']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"poor feeding","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"feeding difficulties","1","['finding']"
"subdural effusion","1","['acquired abnormality']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"nausea and vomiting","1","['sign or symptom']"
"airway structure","1","['body part, organ, or organ component']"
"high pitched cry","1","['finding']"
