"meningitis","27","['disease or syndrome']"
"viral meningitis","7","['disease or syndrome']"
"meningitis bacterial","5","['disease or syndrome']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"cerebrospinal fluid","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"tissue damage","3","['injury or poisoning']"
"fever","3","['finding']"
"spinal puncture","3","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"antibiotics","3","['antibiotic']"
"meningococcal meningitis","2","['disease or syndrome']"
"meningitis herpes","2","['disease or syndrome']"
"genital herpes","2","['disease or syndrome']"
"brain injuries","2","['injury or poisoning']"
"mental status adverse event","2","['finding']"
"seizures","2","['finding', 'sign or symptom']"
"herpes labialis","2","['disease or syndrome']"
"booster","2","['therapeutic or preventive procedure']"
"neck stiffness","2","['sign or symptom']"
"subdural effusion","1","['acquired abnormality']"
"agitation","1","['finding', 'sign or symptom']"
"neoplasms","1","['finding', 'neoplastic process']"
"hibtiter","1","['pharmacologic substance']"
"heart rate","1","['clinical attribute']"
"haemophilus vaccines","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"entire head and neck","1","['body location or region']"
"brain edema","1","['disease or syndrome', 'pathologic function']"
"meningitis pneumococcal","1","['disease or syndrome']"
"pneumococcal conjugate vaccine","1","['organic chemical', 'pharmacologic substance']"
"brain and spinal cord","1","['body part, organ, or organ component']"
"lumbar region","1","['body location or region']"
"chest x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"mosquito bites","1","['injury or poisoning']"
"hypersensitivity","1","['clinical attribute', 'finding', 'pathologic function']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"mumps","1","['disease or syndrome', 'pharmacologic substance']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"deafness","1","['disease or syndrome', 'finding']"
"photophobia severe","1","['finding']"
"tachycardia","1","['finding']"
"tachypnea","1","['sign or symptom']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"meninges","1","['body part, organ, or organ component', 'disease or syndrome']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"meningism","1","['sign or symptom']"
"headache severe","1","['sign or symptom']"
"injection of therapeutic agent","1","['therapeutic or preventive procedure']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"veins","1","['body part, organ, or organ component']"
"drug allergy","1","['disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"bulging fontanelle","1","['sign or symptom']"
"vaccines conjugate","1","['pharmacologic substance']"
"hearing examination finding","1","['finding']"
"trauma nervous system","1","['injury or poisoning']"
"immune system finding","1","['finding']"
"adverse event associated with death","1","['finding']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"aseptic meningitis","1","['disease or syndrome']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"opisthotonus","1","['sign or symptom']"
"poor feeding","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"virus diseases","1","['disease or syndrome']"
"bite injury","1","['injury or poisoning', 'organ or tissue function']"
"childhood immunization","1","['therapeutic or preventive procedure']"
"nausea and vomiting","1","['sign or symptom']"
"chills","1","['sign or symptom']"
"irritable mood","1","['finding']"
"enterovirus","1","['virus']"
