"acidosis - metabolic"
"acidosis","21","['pathologic function']"
"metabolic acidosis","13","['pathologic function']"
"diabetic ketoacidosis","5","['disease or syndrome']"
"sodium bicarbonate","3","['organic chemical', 'pharmacologic substance']"
"diabetes mellitus insulin-dependent","2","['disease or syndrome']"
"bicarbonates","2","['inorganic chemical', 'organic chemical', 'pharmacologic substance']"
"kidney","2","['body part, organ, or organ component']"
"adverse event associated with death","2","['finding']"
"finding of serum electrolyte levels","2","['finding']"
"flatulence","2","['finding', 'sign or symptom']"
"blood gas","2","['organ or tissue function']"
"hypoglycemia","2","['disease or syndrome']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"acidosis lactic","1","['disease or syndrome']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"lethargy","1","['sign or symptom']"
"physical findings","1","['finding']"
"renal tubular acidosis type ii","1","['disease or syndrome']"
"sugars","1","['pharmacologic substance']"
"dehydration","1","['disease or syndrome', 'finding']"
"ethylene glycol","1","['hazardous or poisonous substance', 'organic chemical']"
"ketones","1","['organic chemical']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"methanol","1","['hazardous or poisonous substance', 'organic chemical']"
"shock cardiogenic","1","['pathologic function']"
"tachypnea","1","['sign or symptom']"
"severe diarrhea","1","['sign or symptom']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"seizures","1","['finding', 'sign or symptom']"
"salicylates","1","['organic chemical', 'pharmacologic substance']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"renal tubular disorder","1","['disease or syndrome']"
"lactic acid","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"ketone bodies","1","['biologically active substance', 'organic chemical']"
"arteries","1","['body part, organ, or organ component']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"poisoning by aspirin","1","['injury or poisoning']"
"acidosis respiratory","1","['disease or syndrome']"
"oxygen","1","['pharmacologic substance']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"finding of ph","1","['laboratory or test result', 'pathologic function']"
"heartburn acidity","1","['sign or symptom']"
"anemia severe","1","['disease or syndrome']"
"hyperchloremic acidosis","1","['disease or syndrome']"
"mild adverse event","1","['finding']"
