"forefoot varus"
"metatarsus varus"
"foot","15","['body part, organ, or organ component']"
"metatarsus adductus","7","['congenital abnormality']"
"region of metatarsal","6","['body location or region']"
"congenital abnormality","3","['congenital abnormality', 'disease or syndrome']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"physical therapy exercises","2","['therapeutic or preventive procedure']"
"ankle","2","['body location or region', 'body part, organ, or organ component']"
"uterus","2","['body part, organ, or organ component', 'disease or syndrome']"
"casts body substance","2","['biologically active substance', 'body substance']"
"breech position","1","['finding']"
"dislocations","1","['injury or poisoning']"
"back","1","['body location or region']"
"femur","1","['body part, organ, or organ component']"
"dysplasia","1","['pathologic function']"
"stretching exercises","1","['therapeutic or preventive procedure']"
"does bend","1","['disease or syndrome', 'finding']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"oligohydramnios","1","['pathologic function']"
"leg","1","['body location or region']"
"metatarsal bone structure","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"amniotic fluid","1","['body substance']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"treated with","1","['therapeutic or preventive procedure']"
"thigh structure","1","['body location or region']"
"acquired clubfoot","1","['acquired abnormality', 'congenital abnormality']"
"developmental dislocation","1","['congenital abnormality']"
