"calcium","13","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"kidney","12","['body part, organ, or organ component']"
"antacids","5","['pharmacologic substance']"
"calcification","3","['finding', 'organ or tissue function']"
"x-ray computed tomography","2","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"kidney problem","2","['sign or symptom']"
"osteoporosis","2","['disease or syndrome', 'finding']"
"calcium carbonate","2","['inorganic chemical', 'pharmacologic substance']"
"today","2","['antibiotic', 'organic chemical']"
"renal function","2","['organ or tissue function']"
"sodium bicarbonate","2","['organic chemical', 'pharmacologic substance']"
"carbonates","2","['inorganic chemical']"
"kidney calculi","2","['disease or syndrome']"
"kidney failure","1","['disease or syndrome', 'finding']"
"scanning","1","['diagnostic procedure', 'finding']"
"physical findings","1","['finding']"
"loin","1","['body location or region']"
"hypercalcemia","1","['disease or syndrome']"
"bicarbonates","1","['inorganic chemical', 'organic chemical', 'pharmacologic substance']"
"blood calcium level result","1","['laboratory or test result']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"peptic ulcer","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"digestive problem","1","['sign or symptom']"
"excessive urination","1","['sign or symptom']"
"electrolyte levels","1","['laboratory or test result']"
"alkalosis","1","['disease or syndrome']"
"ultrasonography","1","['diagnostic procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"calcinosis","1","['disease or syndrome', 'finding']"
"alcohol consumption","1","['individual behavior']"
"flatulence","1","['finding', 'sign or symptom']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"fatigue","1","['sign or symptom']"
"adverse effects","1","['finding', 'pathologic function']"
"tissue damage","1","['injury or poisoning']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"nephrocalcinosis","1","['disease or syndrome']"
"nausea","1","['finding', 'sign or symptom']"
"blood gas","1","['organ or tissue function']"
"ability to balance","1","['finding']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"treated with","1","['therapeutic or preventive procedure']"
