"mitral valve insufficiency"
"mitral valve regurgitation"
"heart","38","['body part, organ, or organ component', 'pharmacologic substance']"
"anatomic valve","19","['body part, organ, or organ component']"
"heart valves","8","['body part, organ, or organ component']"
"regurgitation","8","['finding', 'sign or symptom']"
"mitral valve insufficiency","6","['diagnostic procedure', 'disease or syndrome']"
"mitral valve","5","['body part, organ, or organ component']"
"blood clot","3","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"physical findings","3","['finding']"
"chamber","3","['body part, organ, or organ component']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"streptococcal infections","3","['disease or syndrome']"
"heart beat","3","['organ or tissue function']"
"heart function","3","['organ or tissue function']"
"fibrillations","2","['disease or syndrome']"
"malaise","2","['finding', 'sign or symptom']"
"myocardial infarction","2","['disease or syndrome', 'finding']"
"magnetic resonance imaging","2","['diagnostic procedure']"
"rheumatic fever","2","['disease or syndrome', 'pharmacologic substance']"
"heart murmur","2","['finding']"
"anticoagulants","2","['pharmacologic substance']"
"surgical repair","2","['therapeutic or preventive procedure']"
"observation of attack","2","['finding']"
"atrial fibrillation","2","['finding', 'pathologic function']"
"tissue damage","2","['injury or poisoning']"
"injection procedure","1","['therapeutic or preventive procedure']"
"s4 gallop","1","['finding']"
"swelling","1","['finding', 'pathologic function']"
"s4 innervation","1","['body location or region']"
"edema","1","['disease or syndrome', 'finding', 'pathologic function']"
"excessive urination","1","['sign or symptom']"
"structure of vein of neck","1","['body part, organ, or organ component']"
"set of muscles","1","['body part, organ, or organ component']"
"ptosis","1","['acquired abnormality', 'disease or syndrome']"
"esthesia","1","['finding', 'organ or tissue function']"
"endocarditis","1","['disease or syndrome']"
"diuretics","1","['pharmacologic substance']"
"angiotensin-converting enzyme inhibitors","1","['pharmacologic substance']"
"streptococcal sore throat","1","['disease or syndrome']"
"echocardiography","1","['diagnostic procedure']"
"cardiac catheterization procedures","1","['diagnostic procedure']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"thinners","1","['hazardous or poisonous substance']"
"veins","1","['body part, organ, or organ component']"
"magnetic resonance imaging (mri) of heart","1","['diagnostic procedure']"
"back","1","['body location or region']"
"syphilis","1","['disease or syndrome']"
"ultrasonography","1","['diagnostic procedure']"
"medication given","1","['finding']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"low sodium diet","1","['finding', 'therapeutic or preventive procedure']"
"mitral valve prolapse syndrome","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"hepatomegaly","1","['sign or symptom']"
"deterioration of status","1","['finding']"
"choice behavior","1","['individual behavior']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"dyspnea","1","['sign or symptom']"
"pulmonary resonance","1","['finding']"
"vibration - treatment","1","['injury or poisoning', 'therapeutic or preventive procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"fenfluramine","1","['organic chemical', 'pharmacologic substance']"
"tachycardia","1","['finding']"
"exhaustion","1","['sign or symptom']"
"headache","1","['sign or symptom']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"muscle strain","1","['injury or poisoning']"
"fluid retention in lung","1","['sign or symptom']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"myalgia","1","['finding', 'sign or symptom']"
"heart sound fourth","1","['finding']"
"heart atrium","1","['body part, organ, or organ component']"
"prompt","1","['pharmacologic substance']"
"respiratory air","1","['body substance']"
"palpitations","1","['finding']"
"dexfenfluramine","1","['organic chemical', 'pharmacologic substance']"
"heart rhythm","1","['organ or tissue function', 'pathologic function']"
"appetite depressants","1","['pharmacologic substance']"
"tachypnea","1","['sign or symptom']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"heart sounds","1","['organ or tissue function']"
"rales","1","['finding', 'sign or symptom']"
"fatigue","1","['sign or symptom']"
"adrenergic beta-antagonists","1","['pharmacologic substance']"
"antibiotics","1","['antibiotic']"
"chills and fever","1","['sign or symptom']"
