"congenital dermal melanocytosis"
"dermal melanocytosis"
"mongolian spots"
"exanthema","8","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"buttocks","2","['body location or region']"
"back","2","['body location or region']"
"mongolian spot","2","['neoplastic process']"
"birthmarks","2","['congenital abnormality']"
"shoulder","1","['body location or region']"
"skin texture","1","['finding']"
"vertebral column","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"contusions","1","['injury or poisoning']"
