"mononeuropathy multiplex"
"multifocal neuropathy"
"peripheral neuropathy - mononeuritis multiplex"
"esthesia","7","['finding', 'organ or tissue function']"
"mononeuritis multiplex","6","['disease or syndrome']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"tissue damage","4","['injury or poisoning']"
"leg","3","['body location or region']"
"upper arm","3","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"physical findings","2","['finding']"
"hypesthesia","2","['finding']"
"foot","2","['body part, organ, or organ component']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"structure of common peroneal nerve","2","['body part, organ, or organ component']"
"affected area","2","['finding']"
"nerve damage","2","['injury or poisoning']"
"dietary supplementation","2","['therapeutic or preventive procedure']"
"electromyography","2","['diagnostic procedure']"
"knee","2","['body part, organ, or organ component']"
"sarcoidosis","1","['disease or syndrome', 'neoplastic process']"
"reflex action","1","['finding', 'organ or tissue function']"
"diabetes mellitus","1","['disease or syndrome', 'pharmacologic substance']"
"hematological disease","1","['disease or syndrome']"
"disability","1","['finding']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"set of muscles","1","['body part, organ, or organ component']"
"absence of sensation","1","['sign or symptom', 'therapeutic or preventive procedure']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"weakness","1","['sign or symptom']"
"brain electrical activity","1","['organ or tissue function']"
"lupus erythematosus systemic","1","['disease or syndrome']"
"shoulder","1","['body location or region']"
"nerve conduction study","1","['diagnostic procedure']"
"proteins","1","['biologically active substance']"
"polyarteritis nodosa","1","['disease or syndrome']"
"body part","1","['body location or region', 'body part, organ, or organ component']"
"structure of radial nerve","1","['body part, organ, or organ component']"
"heel","1","['body location or region', 'inorganic chemical', 'pharmacologic substance']"
"scanning","1","['diagnostic procedure', 'finding']"
"neuralgia","1","['sign or symptom']"
"burning sensation","1","['sign or symptom']"
"sugars","1","['pharmacologic substance']"
"back","1","['body location or region']"
"toes","1","['body part, organ, or organ component']"
"feeling of loss of feeling","1","['sign or symptom']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"hand","1","['body part, organ, or organ component']"
"muscle mass","1","['finding']"
"numbness","1","['finding', 'sign or symptom']"
"anticonvulsants","1","['pharmacologic substance']"
"diabetic","1","['finding']"
"structure of sciatic nerve","1","['body part, organ, or organ component']"
"cryoglobulinemia","1","['disease or syndrome']"
"cardiac conduction","1","['organ or tissue function']"
"duloxetine","1","['organic chemical', 'pharmacologic substance']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"childhood and adolescent relationship problem","1","['mental or behavioral dysfunction']"
"mononeuropathy multiplex","1","['disease or syndrome']"
"nortriptyline","1","['organic chemical', 'pharmacologic substance']"
"peripheral nerves","1","['body part, organ, or organ component']"
"hypereosinophilia","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"treatment options","1","['therapeutic or preventive procedure']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"contusions","1","['injury or poisoning']"
"pregnancy tests","1","['diagnostic procedure']"
"structure of axillary nerve","1","['body part, organ, or organ component']"
"phenytoin","1","['organic chemical', 'pharmacologic substance']"
"urinary bladder","1","['body part, organ, or organ component']"
"adverse reaction to drug","1","['injury or poisoning']"
"intestines","1","['body part, organ, or organ component']"
"pregabalin","1","['pharmacologic substance']"
"structure of median nerve","1","['body part, organ, or organ component']"
"leprosy","1","['disease or syndrome', 'pharmacologic substance']"
"elbow","1","['body location or region', 'congenital abnormality']"
"abnormal sensation","1","['sign or symptom']"
"structure of femoral nerve","1","['body part, organ, or organ component']"
"nerve conduction function","1","['organ or tissue function']"
"muscle strength","1","['organ or tissue function']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"neurological observations","1","['finding']"
"antidepressive agents","1","['pharmacologic substance']"
"brain and spinal cord","1","['body part, organ, or organ component']"
"erectile dysfunction","1","['disease or syndrome', 'finding']"
"connective tissue diseases","1","['disease or syndrome']"
"pain medicines","1","['pharmacologic substance']"
"falls","1","['finding', 'injury or poisoning']"
"structure of ulnar nerve","1","['body part, organ, or organ component']"
"carbamazepine","1","['organic chemical', 'pharmacologic substance']"
"finding of blood glucose level","1","['laboratory or test result']"
"paralysed","1","['finding']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"mass of body structure","1","['finding']"
"at risk for falling","1","['finding']"
"amyloidosis","1","['disease or syndrome']"
