"embrace reflex"
"startle reflex"
"startle response"
"reflex action","13","['finding', 'organ or tissue function']"
"peripheral arterial diseases","2","['disease or syndrome', 'neoplastic process']"
"brachial plexus structure","2","['body part, organ, or organ component']"
"absent adverse event","2","['finding']"
"upper arm","2","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"tissue damage","1","['injury or poisoning']"
"ask question","1","['finding']"
"spinal cord","1","['body part, organ, or organ component', 'disease or syndrome']"
"thumb structure","1","['body part, organ, or organ component']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"diagnostic tests","1","['diagnostic procedure']"
"radiography of shoulder","1","['diagnostic procedure']"
"set of muscles","1","['body part, organ, or organ component']"
"normal reflexes","1","['finding']"
"plain x-ray","1","['diagnostic procedure']"
"structure of bones of the shoulder","1","['body part, organ, or organ component']"
"neck","1","['body location or region']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"face","1","['body location or region', 'disease or syndrome']"
"absent reflex","1","['finding']"
"stimulation procedure","1","['therapeutic or preventive procedure']"
