"toes","10","['body part, organ, or organ component']"
"foot","10","['body part, organ, or organ component']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"painkillers","2","['pharmacologic substance']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"forefoot","1","['body location or region', 'body part, organ, or organ component']"
"examined","1","['finding']"
"radiography of foot","1","['diagnostic procedure']"
"acquired flat foot","1","['acquired abnormality', 'congenital abnormality']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"ultrasonography","1","['diagnostic procedure']"
"electromyography","1","['diagnostic procedure']"
"arthritis","1","['disease or syndrome']"
"neuroma","1","['neoplastic process']"
"flatulence","1","['finding', 'sign or symptom']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"anti-inflammatory agents","1","['pharmacologic substance']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"numbness","1","['finding', 'sign or symptom']"
"bunion","1","['acquired abnormality']"
"pain burning","1","['sign or symptom']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"more common in women","1","['finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"heel","1","['body location or region', 'inorganic chemical', 'pharmacologic substance']"
