"arm and leg movements - uncontrollable"
"athetoid movements"
"choreoathetosis"
"dystonia"
"involuntary slow and twisting movements"
"leg and arm movements - uncontrollable"
"slow involuntary movements of large muscle groups"
"pharmaceutical preparations","2","['pharmacologic substance']"
"abnormal movement","2","['disease or syndrome', 'finding']"
"emotional stress","2","['mental or behavioral dysfunction']"
"affected area","2","['finding']"
"family history of hereditary disease","1","['finding']"
"deterioration of status","1","['finding']"
"electroencephalography","1","['diagnostic procedure', 'finding', 'laboratory or test result']"
"muscle tonus","1","['finding', 'organ or tissue function']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"limb structure","1","['body part, organ, or organ component']"
"nerve conduction function","1","['organ or tissue function']"
"cerebral palsy","1","['congenital abnormality', 'disease or syndrome', 'therapeutic or preventive procedure']"
"hepatic encephalopathy","1","['disease or syndrome']"
"lumbar region","1","['body location or region']"
"athetosis","1","['sign or symptom']"
"set of muscles","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"electromyography","1","['diagnostic procedure']"
"jerky movement","1","['finding']"
"spinal puncture","1","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"adverse reaction to drug","1","['injury or poisoning']"
"neck","1","['body location or region']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"paralysed","1","['finding']"
"nerve conduction velocity test","1","['diagnostic procedure', 'finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"accidents","1","['injury or poisoning']"
"cardiac conduction","1","['organ or tissue function']"
"signs and symptoms","1","['sign or symptom']"
