"chorea"
"hyperkinetic movements"
"muscle - jerky movements (uncontrolled)"
"chorea","9","['disease or syndrome']"
"pharmaceutical preparations","5","['pharmacologic substance']"
"agitation","2","['finding', 'sign or symptom']"
"affected area","2","['finding']"
"dyskinetic syndrome","1","['disease or syndrome', 'finding']"
"deterioration of status","1","['finding']"
"electroencephalography","1","['diagnostic procedure', 'finding', 'laboratory or test result']"
"irritable mood","1","['finding']"
"lumbar region","1","['body location or region']"
"nerve conduction function","1","['organ or tissue function']"
"emotional stress","1","['mental or behavioral dysfunction']"
"emotional problems","1","['mental or behavioral dysfunction']"
"sodium","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"facial tics","1","['disease or syndrome']"
"chorea gravidarum","1","['disease or syndrome']"
"fingers","1","['body location or region']"
"antipsychotic agents","1","['pharmacologic substance']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"glucose","1","['biologically active substance', 'pharmacologic substance']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"jerky movement","1","['finding']"
"weakness","1","['sign or symptom']"
"nerve conduction velocity test","1","['diagnostic procedure', 'finding']"
"spinal puncture","1","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"polycythemia vera","1","['disease or syndrome', 'neoplastic process']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"involuntary movements","1","['sign or symptom']"
"benign hereditary chorea","1","['disease or syndrome']"
"lupus erythematosus systemic","1","['disease or syndrome']"
"shoulder","1","['body location or region']"
"tic disorder","1","['mental or behavioral dysfunction']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"paralysed","1","['finding']"
"anticonvulsants","1","['pharmacologic substance']"
"antidepressive agents","1","['pharmacologic substance']"
"face","1","['body location or region', 'disease or syndrome']"
"levodopa","1","['pharmacologic substance']"
"thyroid preparation","1","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"rheumatic chorea","1","['disease or syndrome']"
"tardive dyskinesia","1","['disease or syndrome']"
"tetrabenazine","1","['organic chemical', 'pharmacologic substance']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"cardiac conduction","1","['organ or tissue function']"
"signs and symptoms","1","['sign or symptom']"
