"men ii"
"sipple syndrome"
"multiple endocrine neoplasia","13","['antibiotic', 'neoplastic process', 'organic chemical']"
"gland","10","['body part, organ, or organ component']"
"multiple endocrine neoplasia type 2a","9","['neoplastic process']"
"medullary carcinoma of thyroid","4","['antibiotic', 'neoplastic process', 'organic chemical']"
"thyroid carcinoma","4","['neoplastic process']"
"pheochromocytoma","4","['disease or syndrome', 'neoplastic process']"
"parathyroid gland","4","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"thyroid gland","3","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"ret protein","3","['enzyme', 'receptor']"
"adrenal glands","2","['body part, organ, or organ component']"
"ultrasonography","2","['diagnostic procedure']"
"lymph nodes","2","['body part, organ, or organ component']"
"multiple endocrine neoplasia type 2b","2","['neoplastic process']"
"anatomic node","2","['body part, organ, or organ component']"
"parathyroid adenoma","2","['neoplastic process']"
"endocrine glands","2","['body part, organ, or organ component']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"ureter","1","['body part, organ, or organ component', 'disease or syndrome']"
"heart rate","1","['clinical attribute']"
"kidney","1","['body part, organ, or organ component']"
"phosphoric monoester hydrolases","1","['enzyme']"
"finding of hormone level","1","['laboratory or test result']"
"thyroid nodule","1","['neoplastic process']"
"calcium","1","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"metanephrine","1","['organic chemical']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"endocrine gland neoplasms","1","['neoplastic process']"
"tachycardia","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"fever","1","['finding']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"abdomen","1","['body location or region']"
"parathyroid hormone","1","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"physical findings","1","['finding']"
"parathyroid hyperplasia","1","['disease or syndrome']"
"alkaline phosphatase","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"urine catecholamine level","1","['laboratory or test result']"
"neck","1","['body location or region']"
"catecholamines","1","['organic chemical', 'pharmacologic substance']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"calcitonin","1","['organic chemical', 'pharmacologic substance']"
