"leopard syndrome"
"lentigo","8","['disease or syndrome']"
"multiple lentigines","4","['disease or syndrome']"
"exanthema","4","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"encounter due to puberty","3","['finding']"
"hearing examination finding","2","['finding']"
"delayed puberty","2","['pathologic function']"
"anterior chest wall structure","2","['body location or region']"
"trunk structure","2","['body location or region']"
"deafness","2","['disease or syndrome', 'finding']"
"sternum","2","['body part, organ, or organ component']"
"physical findings","2","['finding']"
"neck","2","['body location or region']"
"cryptorchidism","2","['congenital abnormality']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"electroencephalography","1","['diagnostic procedure', 'finding', 'laboratory or test result']"
"freckles","1","['finding']"
"congenital funnel chest","1","['congenital abnormality', 'disease or syndrome']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"pectus carinatum","1","['congenital abnormality']"
"tissue growth","1","['organ or tissue function']"
"heart valves","1","['body part, organ, or organ component']"
"infantile neuroaxonal dystrophy","1","['disease or syndrome']"
"encounter due to problems with hearing","1","['disease or syndrome', 'finding']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"orbital separation excessive","1","['congenital abnormality']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"hypertrophic cardiomyopathy","1","['disease or syndrome']"
"ear structure","1","['body part, organ, or organ component', 'body substance']"
"audiometry","1","['diagnostic procedure']"
"anatomic valve","1","['body part, organ, or organ component']"
"testis","1","['body part, organ, or organ component', 'disease or syndrome']"
"x-ray of skull","1","['diagnostic procedure']"
"plain x-ray","1","['diagnostic procedure']"
"cafe-au-lait spots","1","['finding']"
"absent or delayed puberty","1","['finding']"
"brain and cranium","1","['body part, organ, or organ component']"
"hypogonadism","1","['disease or syndrome']"
"prominent ears","1","['congenital abnormality']"
"infertility","1","['diagnostic procedure', 'disease or syndrome']"
"absent adverse event","1","['finding']"
"heart problem","1","['sign or symptom']"
"genitalia","1","['body part, organ, or organ component']"
"birthmarks","1","['congenital abnormality']"
