"cervix uteri","7","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"nabothian cyst","3","['disease or syndrome']"
"mass of body structure","3","['finding']"
"gland","3","['body part, organ, or organ component']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"pelvis","1","['body location or region', 'body part, organ, or organ component']"
"smear test","1","['diagnostic procedure']"
"pap smear","1","['diagnostic procedure']"
"bodily secretions","1","['body substance']"
"vagina","1","['body part, organ, or organ component', 'disease or syndrome']"
"colposcopy","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"papaverine","1","['enzyme', 'organic chemical', 'pharmacologic substance']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
