"congenital hypothyroidism"
"cretinism"
"hypothyroidism - infants"
"hypothyroidism","11","['disease or syndrome']"
"thyroid gland","7","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"physical findings","3","['finding']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"muscle tonus","2","['finding', 'organ or tissue function']"
"tissue growth","2","['organ or tissue function']"
"mental retardation","2","['mental or behavioral dysfunction']"
"disability","2","['finding']"
"bone structure of cranium","2","['body part, organ, or organ component']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"sluggishness","1","['finding', 'sign or symptom']"
"deterioration of status","1","['finding']"
"floppy infant syndrome","1","['congenital abnormality', 'disease or syndrome']"
"congenital hypothyroidism","1","['congenital abnormality', 'disease or syndrome']"
"structure of long bone","1","['body part, organ, or organ component']"
"low hairline","1","['finding']"
"limb structure","1","['body part, organ, or organ component']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"constipation","1","['finding', 'sign or symptom']"
"somnolence","1","['finding']"
"pituitary gland","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"dry brittle hair","1","['finding']"
"muscle hypotonia","1","['sign or symptom']"
"thyroid carcinoma","1","['neoplastic process']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"very large","1","['finding']"
"crying","1","['individual behavior']"
"hormone production","1","['organ or tissue function']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"poor feeding","1","['finding']"
"thyroxine","1","['body part, organ, or organ component', 'finding', 'organic chemical', 'pharmacologic substance']"
"very rare","1","['finding']"
"leg","1","['body location or region']"
"neonatal screening","1","['diagnostic procedure']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"neurological observations","1","['finding']"
"hand","1","['body part, organ, or organ component']"
"tongue edema","1","['pathologic function']"
"plain x-ray","1","['diagnostic procedure']"
"short arms","1","['finding']"
"antithyroid agents","1","['pharmacologic substance']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"tissue damage","1","['injury or poisoning']"
"normal intelligence","1","['finding']"
"heart problem","1","['sign or symptom']"
"face","1","['body location or region', 'disease or syndrome']"
"finding of hormone level","1","['laboratory or test result']"
"short fingers","1","['finding']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"production processing id","1","['finding']"
"icterus","1","['finding', 'pathologic function']"
"radioactive iodine","1","['hazardous or poisonous substance', 'pharmacologic substance']"
