"nephrosis"
"kidney","9","['body part, organ, or organ component']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"tissue damage","4","['injury or poisoning']"
"angiotensin-converting enzyme inhibitors","3","['pharmacologic substance']"
"blood urea nitrogen","3","['biologically active substance', 'inorganic chemical', 'organic chemical']"
"hypercholesterolemia result","2","['finding']"
"multiple myeloma","2","['neoplastic process']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"leg","2","['body location or region']"
"glomerulonephritis membranoproliferative","2","['disease or syndrome']"
"immune system diseases","2","['disease or syndrome']"
"creatinine","2","['biologically active substance', 'finding', 'organic chemical']"
"blood clot","2","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"pulmonary edema","1","['disease or syndrome']"
"diet protein-restricted","1","['finding', 'therapeutic or preventive procedure']"
"infectious mononucleosis","1","['disease or syndrome']"
"fluid retention","1","['pathologic function']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"blood proteins","1","['biologically active substance']"
"diuretics","1","['pharmacologic substance']"
"peptidyl-dipeptidase a","1","['enzyme', 'therapeutic or preventive procedure']"
"thrombosis of renal vein","1","['disease or syndrome', 'pathologic function']"
"atherosclerosis","1","['disease or syndrome']"
"malaise","1","['finding', 'sign or symptom']"
"physical findings","1","['finding']"
"foot","1","['body part, organ, or organ component']"
"lupus erythematosus systemic","1","['disease or syndrome']"
"abdomen distended","1","['finding']"
"membranous glomerulonephritis","1","['disease or syndrome']"
"streptococcal sore throat","1","['disease or syndrome']"
"angiotensin receptor antagonists","1","['pharmacologic substance']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"urine protein","1","['biologically active substance']"
"urine volume finding","1","['clinical attribute', 'finding']"
"malnutrition","1","['disease or syndrome']"
"thinners","1","['hazardous or poisonous substance']"
"veins","1","['body part, organ, or organ component']"
"weight gain","1","['finding', 'sign or symptom']"
"segmental glomerulosclerosis","1","['disease or syndrome']"
"hereditary diseases","1","['disease or syndrome']"
"glucose tolerance test","1","['diagnostic procedure', 'neoplastic process']"
"facial swelling","1","['finding']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"low-cholesterol diet","1","['therapeutic or preventive procedure']"
"hepatitis","1","['disease or syndrome', 'pharmacologic substance']"
"transplanted kidney","1","['body part, organ, or organ component', 'finding', 'therapeutic or preventive procedure']"
"convulsions","1","['sign or symptom']"
"lobar pneumonia","1","['disease or syndrome']"
"headache severe","1","['sign or symptom']"
"nephrotic syndrome","1","['disease or syndrome']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"low sodium diet","1","['finding', 'therapeutic or preventive procedure']"
"immune system finding","1","['finding']"
"transplantation","1","['therapeutic or preventive procedure']"
"chronic kidney diseases","1","['disease or syndrome']"
"male gender","1","['finding']"
"decrease in appetite","1","['sign or symptom']"
"heart diseases","1","['disease or syndrome']"
"streptococcal infections","1","['disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"limb structure","1","['body part, organ, or organ component']"
"female","1","['finding']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"anticoagulants","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"retention - dental","1","['clinical attribute']"
"venous thrombosis","1","['finding', 'pathologic function']"
"cough decreased","1","['finding']"
"oliguria","1","['sign or symptom']"
"casts body substance","1","['biologically active substance', 'body substance']"
"fatty acid glycerol esters","1","['biologically active substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"pulmonary failure","1","['disease or syndrome']"
"serum proteins","1","['biologically active substance']"
"iron","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"swelling or edema","1","['finding']"
"structure of renal vein","1","['body part, organ, or organ component']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"triglycerides","1","['biologically active substance']"
"urinary casts","1","['body substance']"
"carbonyldiamide","1","['biologically active substance', 'inorganic chemical', 'organic chemical']"
"vitamin d supplements","1","['therapeutic or preventive procedure']"
"fluid overload","1","['disease or syndrome', 'pathologic function']"
"fever","1","['finding']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"other drugs","1","['pharmacologic substance']"
"hand","1","['body part, organ, or organ component']"
"cholesterol level test result","1","['laboratory or test result']"
"diabetes","1","['disease or syndrome']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"enzymes","1","['enzyme', 'organic chemical']"
"face","1","['body location or region', 'disease or syndrome']"
"amyloidosis","1","['disease or syndrome']"
"chronic disease","1","['disease or syndrome']"
