"syphilis","11","['disease or syndrome']"
"physical findings","4","['finding']"
"spinal puncture","4","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"cerebrospinal fluid","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"spinal cord","2","['body part, organ, or organ component', 'disease or syndrome']"
"lumbar region","2","['body location or region']"
"muscular atrophy","2","['disease or syndrome']"
"neurosyphilis asymptomatic","2","['disease or syndrome']"
"globus pallidus","2","['body part, organ, or organ component']"
"cord - body parts","2","['body part, organ, or organ component', 'disease or syndrome']"
"headache","1","['sign or symptom']"
"injection procedure","1","['therapeutic or preventive procedure']"
"probenecid","1","['organic chemical', 'pharmacologic substance']"
"inability to walk","1","['finding']"
"reflex action","1","['finding', 'organ or tissue function']"
"blind vision","1","['disease or syndrome']"
"dementia","1","['mental or behavioral dysfunction']"
"reflex abnormal","1","['sign or symptom']"
"puncture wound","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"seizures","1","['finding', 'sign or symptom']"
"incontinence","1","['disease or syndrome']"
"neurological observations","1","['finding']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"tabes dorsalis","1","['disease or syndrome']"
"paresis","1","['sign or symptom']"
"penicillin","1","['antibiotic', 'organic chemical']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"plasma","1","['body substance']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"fluorescent stain","1","['organic chemical']"
"toes","1","['body part, organ, or organ component']"
"atrophic","1","['disease or syndrome', 'pathologic function']"
"leg","1","['body location or region']"
"weakness","1","['sign or symptom']"
"follow-up status","1","['finding']"
"gait","1","['finding']"
"brain stem","1","['body part, organ, or organ component']"
"visual disturbance","1","['sign or symptom']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"cerebral angiogram","1","['diagnostic procedure']"
"neurological problem","1","['finding']"
"numbness","1","['finding', 'sign or symptom']"
"neck stiffness","1","['sign or symptom']"
"poor concentration","1","['finding']"
"general paralysis","1","['disease or syndrome']"
"cat scan of head","1","['diagnostic procedure']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"veins","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"neck tremor","1","['finding']"
"irritable mood","1","['finding']"
