"cancer - non-hodgkin lymphoma"
"histiocytic lymphoma"
"lymphoblastic lymphoma"
"lymphocytic lymphoma"
"lymphoma - non-hodgkin"
"malignant neoplasms","10","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"lymphoma non-hodgkin","9","['neoplastic process']"
"lymph nodes","5","['body part, organ, or organ component']"
"pharmacotherapy","4","['therapeutic or preventive procedure']"
"anatomic node","3","['body part, organ, or organ component']"
"positron-emission tomography","3","['diagnostic procedure']"
"blood transfusion","3","['therapeutic or preventive procedure']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"body weight decreased","2","['finding']"
"stem of organ","2","['body part, organ, or organ component']"
"trachea","2","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"night sweats","2","['sign or symptom']"
"thymus gland","2","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"physical findings","2","['finding']"
"transplantation","2","['therapeutic or preventive procedure']"
"sweat","2","['body substance', 'finding']"
"renal function","2","['organ or tissue function']"
"scanning","1","['diagnostic procedure', 'finding']"
"x-ray computed tomography","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"constipation","1","['finding', 'sign or symptom']"
"deterioration of status","1","['finding']"
"swelling","1","['finding', 'pathologic function']"
"pelvis","1","['body location or region', 'body part, organ, or organ component']"
"anemia hemolytic","1","['disease or syndrome']"
"autoimmune hemolytic anemia","1","['disease or syndrome']"
"kidney","1","['body part, organ, or organ component']"
"anorexia","1","['disease or syndrome', 'finding']"
"seizures","1","['finding', 'sign or symptom']"
"dna","1","['biologically active substance']"
"emission - male genitalia finding","1","['body substance']"
"chest+abdomen","1","['body location or region']"
"adverse event associated with death","1","['finding']"
"chest","1","['body location or region', 'disease or syndrome']"
"platelet transfusion","1","['therapeutic or preventive procedure']"
"stem cell transplant","1","['therapeutic or preventive procedure']"
"dyspnea","1","['sign or symptom']"
"high-dose chemotherapy","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"headache","1","['sign or symptom']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"radioimmunotherapy","1","['therapeutic or preventive procedure']"
"coughing","1","['finding', 'sign or symptom']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"abdomen","1","['body location or region']"
"as if personality","1","['mental or behavioral dysfunction']"
"abdomen+pelvis","1","['body part, organ, or organ component']"
"liver function","1","['organ or tissue function']"
"fasting","1","['finding']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"immune system finding","1","['finding']"
"neck","1","['body location or region']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"chemotherapy drugs adminstered","1","['therapeutic or preventive procedure']"
"level","1","['pharmacologic substance']"
"proteins","1","['biologically active substance']"
"effects of chemotherapy","1","['pathologic function']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"persistent fever","1","['pathologic function']"
"specimen type - lymphocytes","1","['body substance']"
"nausea and vomiting","1","['sign or symptom']"
"chills","1","['sign or symptom']"
"respiratory air","1","['body substance']"
"uric acid","1","['biologically active substance', 'organic chemical']"
"airway structure","1","['body part, organ, or organ component']"
"transplanted organ","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
