"bleeding from the nose"
"epistaxis"
"nose","32","['body part, organ, or organ component', 'disease or syndrome']"
"blood vessel","7","['body part, organ, or organ component', 'finding']"
"epistaxis","5","['pathologic function']"
"hemorrhage","4","['pathologic function', 'therapeutic or preventive procedure']"
"acute insulin response","4","['finding']"
"aspirin","4","['organic chemical', 'pharmacologic substance']"
"anticoagulants","3","['pharmacologic substance']"
"hereditary hemorrhagic telangiectasia","3","['disease or syndrome', 'neoplastic process', 'organic chemical', 'pharmacologic substance']"
"thinners","3","['hazardous or poisonous substance']"
"scab","2","['acquired abnormality', 'therapeutic or preventive procedure']"
"hypersensitivity","2","['clinical attribute', 'finding', 'pathologic function']"
"irritants","2","['hazardous or poisonous substance']"
"ear nose and throat","2","['body part, organ, or organ component', 'sign or symptom']"
"nasal fracture","2","['injury or poisoning']"
"common cold","2","['disease or syndrome', 'finding']"
"telangiectasis","2","['disease or syndrome', 'finding']"
"bleeds easily","2","['finding']"
"physical therapy","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"rhinitis","1","['disease or syndrome', 'sign or symptom']"
"thumb structure","1","['body part, organ, or organ component']"
"nasal decongestants","1","['organic chemical', 'pharmacologic substance']"
"nose-picking","1","['finding']"
"life threatening","1","['finding']"
"spraying behavior","1","['mental or behavioral dysfunction']"
"cocaine","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"nasal septum structure","1","['body part, organ, or organ component']"
"skull fractures","1","['injury or poisoning']"
"diagnostic tests","1","['diagnostic procedure']"
"control of bleeding","1","['therapeutic or preventive procedure']"
"nasal sprays","1","['pharmacologic substance']"
"nasal saline","1","['inorganic chemical', 'pharmacologic substance']"
"bleeding tendency","1","['disease or syndrome', 'pathologic function']"
"plavix","1","['organic chemical', 'pharmacologic substance']"
"fingers","1","['body location or region']"
"ice","1","['enzyme', 'hazardous or poisonous substance', 'inorganic chemical', 'organic chemical', 'therapeutic or preventive procedure']"
"feces","1","['body substance']"
"sinusitis","1","['disease or syndrome']"
"afrin","1","['organic chemical', 'pharmacologic substance']"
"nasal obstruction present finding","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"dysbarism","1","['injury or poisoning']"
"nasal packing","1","['therapeutic or preventive procedure']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"physical findings","1","['finding']"
"foreign bodies","1","['injury or poisoning']"
"silver nitrate","1","['inorganic chemical', 'pharmacologic substance']"
"does swallow","1","['finding']"
"saline spray","1","['inorganic chemical', 'pharmacologic substance']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"does sit","1","['finding']"
"allergy/cold","1","['organic chemical', 'pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"face","1","['body location or region', 'disease or syndrome']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"silver preparation","1","['pharmacologic substance']"
"rhinoscopy","1","['diagnostic procedure']"
"skin petechiae","1","['sign or symptom']"
"coumadin","1","['organic chemical', 'pharmacologic substance']"
"neo-synephrine","1","['organic chemical', 'pharmacologic substance']"
