"dislocated elbow - children"
"dislocation - elbow - partial"
"dislocation - radial head"
"elbow - nursemaid's"
"elbow - pulled"
"elbow subluxation"
"pulled elbow"
"radial head dislocation"
"lithium","177","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","77","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","37","['neoplastic process']"
"elbow","29","['body location or region', 'congenital abnormality']"
"histone h3","24","['biologically active substance']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"medical history","20","['finding']"
"upper arm","17","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"hepatic","14","['body location or region']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"dislocations","13","['injury or poisoning']"
"rhythm","9","['finding']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"alanine transaminase","5","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"foot","5","['body part, organ, or organ component']"
"radial head subluxation","5","['injury or poisoning']"
"skeletal bone","4","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"thrombasthenia","4","['disease or syndrome']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"surgical margins","4","['body part, organ, or organ component']"
"date allergenic extract","3","['pharmacologic substance']"
"prophylactic treatment","3","['therapeutic or preventive procedure']"
"forearm","3","['body part, organ, or organ component']"
"elbow dislocations","3","['injury or poisoning']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"muscular dystrophy","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"observation result","2","['finding']"
"may-hegglin anomaly","2","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"shoulder","2","['body location or region']"
"bony process","2","['body part, organ, or organ component']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"bone structure of radius","2","['body part, organ, or organ component']"
"anatomic site","2","['body location or region']"
"prealbumin","2","['biologically active substance']"
"dislocation of the radial head","2","['injury or poisoning']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"formycin triphosphate","2","['pharmacologic substance']"
"palm of hand","2","['body location or region']"
"signs and symptoms","2","['sign or symptom']"
"does skip","2","['biologically active substance', 'finding']"
"educational status","2","['finding', 'individual behavior']"
"wrist","2","['body location or region']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"manipulation procedure","2","['therapeutic or preventive procedure']"
"core specimen","2","['body substance']"
"joint subluxation","1","['injury or poisoning']"
"gtpase-activating proteins","1","['biologically active substance']"
"general anesthesia","1","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"elbow injury","1","['injury or poisoning']"
"matrix attachment regions","1","['biologically active substance', 'clinical attribute']"
"compact pattern","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"prevention of disorder","1","['therapeutic or preventive procedure']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"fibronectins","1","['biologically active substance']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"elbow injuries and disorders","1","['injury or poisoning']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"upper body","1","['body part, organ, or organ component']"
"stat protein","1","['biologically active substance', 'finding']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"research outcome","1","['finding']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"falls","1","['finding', 'injury or poisoning']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"dna","1","['biologically active substance']"
"both arms","1","['body part, organ, or organ component']"
"craniodiaphyseal dysplasia","1","['congenital abnormality']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"tissue damage","1","['injury or poisoning']"
"curb","1","['disease or syndrome']"
"coloring excipient","1","['pharmacologic substance']"
"anatomic border","1","['body location or region']"
"fracture","1","['finding', 'injury or poisoning']"
"aplasia cutis congenita","1","['congenital abnormality', 'disease or syndrome']"
"parotid double-band protein","1","['biologically active substance']"
"application of ice packs","1","['therapeutic or preventive procedure']"
