"fat - obese"
"morbid obesity"
"body fat","4","['body part, organ, or organ component', 'clinical attribute']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"behaviorial habits","4","['individual behavior']"
"does talk","3","['finding']"
"body weight decreased","3","['finding']"
"weight gain","3","['finding', 'sign or symptom']"
"body mass index","3","['clinical attribute', 'diagnostic procedure']"
"stress","3","['finding', 'organic chemical', 'pharmacologic substance']"
"hypothyroidism","2","['disease or syndrome']"
"gastric banding","2","['therapeutic or preventive procedure']"
"thyroid gland","2","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"today","2","['antibiotic', 'organic chemical']"
"exercise pain management","2","['therapeutic or preventive procedure']"
"eating habit","2","['individual behavior']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"weight-loss agents","1","['pharmacologic substance']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"physical findings","1","['finding']"
"unemployment","1","['finding']"
"gastric bypass","1","['therapeutic or preventive procedure']"
"meditation therapy","1","['therapeutic or preventive procedure']"
"hormone problem","1","['finding']"
"choice behavior","1","['individual behavior']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"infantile neuroaxonal dystrophy","1","['disease or syndrome']"
"sleep apnea syndromes","1","['disease or syndrome']"
"oral contraception","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"fat protein human","1","['biologically active substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"hyperphagia","1","['mental or behavioral dysfunction', 'therapeutic or preventive procedure']"
"yoga","1","['therapeutic or preventive procedure']"
"antidepressive agents","1","['pharmacologic substance']"
"ask question","1","['finding']"
"bariatric surgery","1","['therapeutic or preventive procedure']"
"antipsychotic agents","1","['pharmacologic substance']"
"minerals","1","['inorganic chemical']"
"banding procedure","1","['therapeutic or preventive procedure']"
"diabetes mellitus non-insulin-dependent","1","['disease or syndrome']"
"hip region structure","1","['biologically active substance', 'body part, organ, or organ component']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"obesity morbid","1","['disease or syndrome']"
"pregnancy signs","1","['sign or symptom']"
"cessation of smoking","1","['finding', 'individual behavior']"
"arthritis","1","['disease or syndrome']"
"overweight","1","['sign or symptom']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"gastrectomy","1","['therapeutic or preventive procedure']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"depressed mood","1","['finding', 'mental or behavioral dysfunction']"
"behavioral change","1","['individual behavior']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"level","1","['pharmacologic substance']"
"staying healthy","1","['individual behavior']"
"mass of body structure","1","['finding']"
"operative surgical procedures","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
