"opisthotonus","7","['sign or symptom']"
"back","3","['body location or region']"
"spinal puncture","3","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"neurological observations","2","['finding']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"abnormal posturing","2","['finding']"
"ethanol","2","['organic chemical', 'pharmacologic substance']"
"cerebrospinal fluid","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"tetanus","1","['disease or syndrome']"
"phenothiazines","1","['organic chemical', 'pharmacologic substance']"
"tissue growth","1","['organ or tissue function']"
"acidemia","1","['pathologic function']"
"spasm","1","['sign or symptom']"
"seizures","1","['finding', 'sign or symptom']"
"somatotropin deficiency","1","['disease or syndrome']"
"perform","1","['pharmacologic substance']"
"brain function","1","['organ or tissue function']"
"organic acidemias","1","['disease or syndrome']"
"lumbar region","1","['body location or region']"
"bleeding site unspecified","1","['sign or symptom']"
"subarachnoid hemorrhage","1","['disease or syndrome']"
"headache","1","['sign or symptom']"
"fever","1","['finding']"
"meningitis","1","['disease or syndrome']"
"glutaric aciduria","1","['disease or syndrome']"
"adverse effects","1","['finding', 'pathologic function']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"growth hormone","1","['pharmacologic substance']"
"neck stiffness","1","['sign or symptom']"
"muscle rigidity","1","['sign or symptom']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"electrolyte imbalance","1","['pathologic function']"
"chemical poisoning","1","['injury or poisoning']"
"hormone deficiency","1","['disease or syndrome']"
"heel","1","['body location or region', 'inorganic chemical', 'pharmacologic substance']"
"alcohol withdrawal syndrome","1","['disease or syndrome']"
