"glioma - optic"
"juvenile pilocytic astrocytoma"
"optic nerve glioma"
"blind vision","7","['disease or syndrome']"
"optic nerve glioma","7","['neoplastic process']"
"neoplasms","3","['finding', 'neoplastic process']"
"physical findings","3","['finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"swelling","2","['finding', 'pathologic function']"
"optic chiasms","2","['body part, organ, or organ component']"
"pharmacotherapy","2","['therapeutic or preventive procedure']"
"neurofibromatoses","2","['neoplastic process']"
"neurofibromatosis 1","2","['biologically active substance', 'neoplastic process']"
"tissue growth","2","['organ or tissue function']"
"cognitive therapy","2","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"hypothalamic structure","1","['body part, organ, or organ component']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"eye movements","1","['finding', 'organ or tissue function']"
"cerebral angiography","1","['diagnostic procedure']"
"anorexia","1","['disease or syndrome', 'finding']"
"pallor","1","['finding', 'sign or symptom']"
"fat protein human","1","['biologically active substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"body fat","1","['body part, organ, or organ component', 'clinical attribute']"
"brain function","1","['organ or tissue function']"
"growth delay","1","['pathologic function']"
"cat scan of head","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"comfort brand of hydroxyethyl cellulose","1","['organic chemical', 'pharmacologic substance']"
"inflammation","1","['pathologic function']"
"angiogram","1","['diagnostic procedure']"
"loss of peripheral vision","1","['finding']"
"neurological observations","1","['finding']"
"intracranial","1","['body location or region']"
"visual field study","1","['diagnostic procedure']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"excision","1","['therapeutic or preventive procedure']"
"tissue damage","1","['injury or poisoning']"
"optic disk","1","['body part, organ, or organ component']"
"memory observations","1","['finding']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"visual impairment","1","['disease or syndrome']"
"discontinued","1","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"brain tissue","1","['body part, organ, or organ component']"
