"idiopathic orbital inflammatory syndrome (iois)"
"eye","16","['body part, organ, or organ component', 'body substance']"
"pseudotumors","7","['acquired abnormality']"
"orbital pseudotumor","4","['disease or syndrome']"
"cornea","3","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"diplopia","3","['disease or syndrome']"
"visual impairment","3","['disease or syndrome']"
"bone structure of cranium","2","['body part, organ, or organ component']"
"set of muscles","2","['body part, organ, or organ component']"
"physical findings","2","['finding']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"corneal ulcer","1","['acquired abnormality', 'disease or syndrome']"
"neoplasms","1","['finding', 'neoplastic process']"
"muscle of orbit","1","['body part, organ, or organ component']"
"eye movements","1","['finding', 'organ or tissue function']"
"clarity","1","['clinical attribute']"
"ultrasonography","1","['diagnostic procedure']"
"mild adverse event","1","['finding']"
"x-ray of skull","1","['diagnostic procedure']"
"eye problem","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"eye pain","1","['finding', 'sign or symptom']"
"vision eye","1","['organic chemical', 'pharmacologic substance']"
"plain x-ray","1","['diagnostic procedure']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"mri of head","1","['diagnostic procedure']"
"redness of eye","1","['sign or symptom']"
"echoencephalography","1","['diagnostic procedure']"
"dental caries","1","['disease or syndrome']"
"swelling of eye","1","['sign or symptom']"
"magnetic resonance imaging","1","['diagnostic procedure']"
