"arthritis - osteoarthritis"
"degenerative joint disease"
"djd"
"hypertrophic osteoarthritis"
"oa"
"osteoarthrosis"
"degenerative polyarthritis","19","['congenital abnormality', 'disease or syndrome', 'finding']"
"skeletal bone","10","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"pharmaceutical preparations","5","['pharmacologic substance']"
"deterioration of status","4","['finding']"
"therapeutic procedure","3","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"anti-inflammatory agents non-steroidal","3","['pharmacologic substance']"
"exercise pain management","3","['therapeutic or preventive procedure']"
"knee","3","['body part, organ, or organ component']"
"stress","3","['finding', 'organic chemical', 'pharmacologic substance']"
"pain relief","2","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"self care hygiene","2","['finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"has artificial joint","2","['finding']"
"massage therapy","2","['therapeutic or preventive procedure']"
"feeling relief","2","['finding', 'organic chemical', 'pharmacologic substance']"
"chondroitin sulfates","1","['biologically active substance', 'pharmacologic substance']"
"foot","1","['body part, organ, or organ component']"
"fusion procedure","1","['therapeutic or preventive procedure']"
"gouty arthritis chronic","1","['disease or syndrome']"
"morning stiffness","1","['finding']"
"range of motion","1","['clinical attribute', 'therapeutic or preventive procedure']"
"balanced diet","1","['therapeutic or preventive procedure']"
"set of muscles","1","['body part, organ, or organ component']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"blood supply aspects","1","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"physical findings","1","['finding']"
"joint mobilization","1","['clinical drug', 'organ or tissue function', 'therapeutic or preventive procedure']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"glucosamine","1","['pharmacologic substance']"
"ability to balance","1","['finding']"
"does play","1","['finding']"
"osteophyte","1","['disease or syndrome', 'pathologic function']"
"ibuprofen","1","['organic chemical', 'pharmacologic substance']"
"sore to touch","1","['sign or symptom']"
"lead","1","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"pain relieve brand of acetaminophen","1","['organic chemical', 'pharmacologic substance']"
"methionine","1","['biologically active substance', 'pharmacologic substance']"
"sulfates inorganic","1","['inorganic chemical']"
"rales","1","['finding', 'sign or symptom']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"joint swelling","1","['sign or symptom']"
"zostrix","1","['organic chemical', 'pharmacologic substance']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"ankle+foot","1","['body part, organ, or organ component']"
"other medications","1","['pharmacologic substance']"
"amino acids","1","['biologically active substance', 'disease or syndrome', 'pharmacologic substance']"
"vertebral column","1","['body part, organ, or organ component']"
"mild adverse event","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"surgical repair","1","['therapeutic or preventive procedure']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"avascular necrosis of bone","1","['pathologic function']"
"synovial fluid","1","['body substance']"
"acupuncture procedure","1","['therapeutic or preventive procedure']"
"arthrodesis","1","['acquired abnormality', 'disease or syndrome', 'therapeutic or preventive procedure']"
"total ankle replacement","1","['therapeutic or preventive procedure']"
"assisting exercise","1","['therapeutic or preventive procedure']"
"elbow","1","['body location or region', 'congenital abnormality']"
"aspirin","1","['organic chemical', 'pharmacologic substance']"
"capsaicin","1","['pharmacologic substance']"
"tissue damage","1","['injury or poisoning']"
"tylenol","1","['organic chemical', 'pharmacologic substance']"
"muscle strength","1","['organ or tissue function']"
"laceration","1","['body substance', 'finding', 'injury or poisoning']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"bleeding tendency","1","['disease or syndrome', 'pathologic function']"
"more common in women","1","['finding']"
"naproxen","1","['organic chemical', 'pharmacologic substance']"
"fracture","1","['finding', 'injury or poisoning']"
"hemophilia a","1","['disease or syndrome']"
"joint stiffness","1","['sign or symptom']"
"other drugs","1","['pharmacologic substance']"
"osteotomy","1","['therapeutic or preventive procedure']"
"shoulder replacement","1","['therapeutic or preventive procedure']"
"arthralgia","1","['finding', 'sign or symptom']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"hyalgan","1","['biologically active substance', 'pharmacologic substance']"
