"aseptic necrosis"
"avascular necrosis"
"avn"
"ischemic bone necrosis"
"osteonecrosis"
"skeletal bone","16","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"bone necrosis","14","['pathologic function']"
"ethanol","3","['organic chemical', 'pharmacologic substance']"
"support - dental","3","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"blood supply aspects","3","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"injury wounds","3","['body substance', 'injury or poisoning']"
"shoulder","3","['body location or region']"
"bone transplantation","3","['therapeutic or preventive procedure']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"dislocations","2","['injury or poisoning']"
"tissue damage","2","['injury or poisoning']"
"pain relieve brand of acetaminophen","2","['organic chemical', 'pharmacologic substance']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"ankle","2","['body location or region', 'body part, organ, or organ component']"
"decompression sickness","2","['disease or syndrome', 'finding', 'injury or poisoning']"
"knee","2","['body part, organ, or organ component']"
"mobility as a finding","2","['finding']"
"core specimen","2","['body substance']"
"deterioration of status","1","['finding']"
"inguinal region","1","['body location or region']"
"excessive drinking","1","['mental or behavioral dysfunction']"
"ask question","1","['finding']"
"deep sea","1","['organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"arthritis foundation","1","['organic chemical', 'pharmacologic substance']"
"osteotomy","1","['therapeutic or preventive procedure']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"diseases or conditions","1","['disease or syndrome']"
"reduced mobility","1","['finding']"
"upper extremities taping or strapping","1","['therapeutic or preventive procedure']"
"range of motion","1","['clinical attribute', 'therapeutic or preventive procedure']"
"fracture","1","['finding', 'injury or poisoning']"
"hip region structure","1","['biologically active substance', 'body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"affected area","1","['finding']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"atherosclerosis","1","['disease or syndrome']"
"alcohol consumption","1","['individual behavior']"
"blood clot","1","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"staphylococcal enterotoxin a","1","['hazardous or poisonous substance']"
"educational status","1","['finding', 'individual behavior']"
"wrist","1","['body location or region']"
"diabetes","1","['disease or syndrome']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"adverse event associated with death","1","['finding']"
"x-ray computed tomography","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"elbow","1","['body location or region', 'congenital abnormality']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"current drinker","1","['individual behavior']"
